centroid_name,lon,lat,GEOID
centroid_310,-111.883623,40.293274,49049010132
centroid_311,-111.883824,40.876949,49011126901
centroid_312,-111.883872,40.77208,49035101102
centroid_313,-111.884464,40.976161,49011126204
centroid_314,-111.884545,40.862897,49011126902
centroid_315,-111.885089,40.792854,49035100200
centroid_316,-111.886449,40.511462,49035112829
centroid_317,-111.891352,40.929521,49011126304
centroid_318,-111.892787,40.773742,49035100800
centroid_319,-111.893005,40.414866,49049010129
centroid_320,-111.893719,40.689976,49035111601
centroid_321,-111.894162,40.67293,49035112101
centroid_322,-111.894345,40.63967,49035112202
centroid_323,-111.894446,40.759154,49035114000
centroid_324,-111.894572,40.738365,49035102900
centroid_325,-111.895844,40.780716,49035100700
centroid_326,-111.895943,40.618485,49035112404
centroid_327,-111.896706,40.598219,49035112402
centroid_328,-111.897019,40.835373,49011126404
centroid_329,-111.898457,40.431784,49049010128
centroid_330,-111.898477,41.004626,49011126203
centroid_331,-111.898566,40.848982,49011126406
centroid_332,-111.898917,40.712146,49035111500
centroid_333,-111.900611,40.763008,49035102502
centroid_334,-111.901059,40.577081,49035112621
centroid_335,-111.901096,40.381123,49049010126
centroid_336,-111.90145,40.313771,49049010116
centroid_337,-111.903059,40.494693,49035112818
centroid_338,-111.903409,40.874213,49011127006
centroid_339,-111.90514,41.046788,49011125102
centroid_340,-111.905287,40.777647,49035100100
centroid_341,-111.905345,40.512322,49035112825
centroid_342,-111.90667,40.768582,49035102501
centroid_343,-111.908197,40.548717,49035112824
centroid_344,-111.909774,40.60506,49035112406
centroid_345,-111.91017,40.344548,49049010118
centroid_346,-111.910584,40.640952,49035112201
centroid_347,-111.911927,40.404989,49049010124
centroid_348,-111.912153,40.657018,49035112102
centroid_349,-111.913802,40.69076,49035111602
centroid_350,-111.91454,40.617895,49035112405
centroid_351,-111.917798,40.669424,49035113514
centroid_352,-111.917933,40.759681,49035102600
centroid_353,-111.918759,40.997252,49011126205
centroid_354,-111.919045,40.377528,49049010125
centroid_355,-111.919316,40.979235,49011126206
centroid_356,-111.919332,40.871186,49011127005
centroid_357,-111.919482,41.118309,49011125104
centroid_358,-111.921111,40.678954,49035113512
centroid_359,-111.921231,40.88004,49011127005
centroid_360,-111.922588,40.558313,49035113012
centroid_361,-111.92275,40.786583,49035100500
centroid_362,-111.923191,40.47861,49035112827
centroid_363,-111.924105,40.777249,49035100600
centroid_364,-111.924804,40.335698,49049010117
centroid_365,-111.925071,41.155453,49057211201
centroid_366,-111.925578,40.604733,49035114200
centroid_367,-111.925846,41.030577,49011127100
centroid_368,-111.926215,40.744741,49035102801
centroid_369,-111.926241,40.851811,49011127002
centroid_370,-111.927711,40.736088,49035102802
centroid_371,-111.928688,40.399346,49049010123
centroid_372,-111.928991,40.65544,49035113515
centroid_373,-111.929727,41.081537,49011125908
centroid_374,-111.929731,40.530127,49035114601
centroid_375,-111.930032,41.01509,49011126105
centroid_376,-111.930398,40.690919,49035113509
