centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-111.076544_40.789839,centroid_1,28.72,37.42,3.13,0.53,30.2
-111.276811_40.62636,centroid_2,25.15,33.71,3.8,0.64,36.71
-111.282991_40.698113,centroid_3,30.06,29.68,3.77,0.67,35.82
-111.285765_41.776494,centroid_4,35.54,25.29,2.1,3.99,33.09
-111.364916_40.598384,centroid_5,25.52,31.56,4.82,0.68,37.42
-111.366196_40.490448,centroid_6,21.97,29.64,2.47,0.72,45.2
-111.380301_40.881808,centroid_7,32.11,26.3,9.04,0.7,31.85
-111.399741_40.517545,centroid_8,22.31,30.38,3.62,0.68,43.01
-111.402199_40.499864,centroid_9,22.53,27.61,3.15,0.71,45.99
-111.408202_40.477897,centroid_10,21.63,27.78,2.56,0.79,47.24
-111.420382_40.504007,centroid_11,21.87,28.3,3.56,0.77,45.49
-111.420779_40.48159,centroid_12,21.98,28.01,2.85,0.78,46.38
-111.434906_40.409967,centroid_13,20.87,29.34,1.81,0.63,47.35
-111.440744_40.757146,centroid_14,42.24,20.72,6.22,0.69,30.13
-111.442008_40.974532,centroid_15,47.33,20.68,9.89,0.65,21.45
-111.463355_40.506679,centroid_16,22.44,29.02,3.64,0.7,44.19
-111.47918_40.522269,centroid_17,24.26,28.6,4.19,0.76,42.19
-111.491737_40.657076,centroid_18,39.23,22.75,6.08,0.68,31.26
-111.505176_40.677097,centroid_19,41.8,20.86,6.78,0.61,29.95
-111.510946_40.65549,centroid_20,38.53,23.43,6.19,0.69,31.16
-111.510973_40.749146,centroid_21,50.24,17.13,7.06,0.64,24.93
-111.521423_40.710945,centroid_22,45.61,20.23,7.12,0.65,26.38
-111.523984_40.160043,centroid_23,26.07,27.77,1.17,0.85,44.15
-111.555312_40.702311,centroid_24,42.79,22.17,7.15,0.65,27.23
-111.57445_40.155571,centroid_25,29.9,24.54,0.63,0.81,44.13
-111.578766_40.760625,centroid_26,50.7,19.68,7.03,0.59,21.99
-111.579662_40.141332,centroid_27,28.36,24.33,0.52,0.8,46.0
-111.58085_40.12006,centroid_28,26.24,25.69,0.6,0.82,46.65
-111.586724_40.743115,centroid_29,47.88,21.97,7.19,0.6,22.36
-111.589586_40.153301,centroid_30,28.84,23.96,0.6,0.74,45.86
