centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-111.886449_40.511462,centroid_316,57.18,12.26,6.7,0.72,23.14
-111.891352_40.929521,centroid_317,65.15,10.15,0.86,1.7,22.13
-111.892787_40.773742,centroid_318,72.35,8.17,1.38,0.8,17.31
-111.893005_40.414866,centroid_319,49.61,14.11,9.86,0.59,25.84
-111.893719_40.689976,centroid_320,69.24,8.89,1.75,0.8,19.32
-111.894162_40.67293,centroid_321,68.27,9.12,1.64,0.83,20.13
-111.894345_40.63967,centroid_322,65.96,9.7,1.93,0.94,21.47
-111.894446_40.759154,centroid_323,72.41,7.93,1.42,0.75,17.5
-111.894572_40.738365,centroid_324,71.85,8.14,1.45,0.73,17.83
-111.895844_40.780716,centroid_325,73.8,7.94,1.26,0.76,16.25
-111.895943_40.618485,centroid_326,64.3,10.11,2.5,0.86,22.22
-111.896706_40.598219,centroid_327,63.18,10.16,2.82,0.92,22.92
-111.897019_40.835373,centroid_328,76.27,7.08,0.89,0.97,14.78
-111.898457_40.431784,centroid_329,51.34,13.75,9.68,0.67,24.56
-111.898477_41.004626,centroid_330,64.57,10.29,0.46,2.44,22.24
-111.898566_40.848982,centroid_331,77.06,6.55,0.79,0.81,14.79
-111.898917_40.712146,centroid_332,70.51,8.33,1.54,0.77,18.85
-111.900611_40.763008,centroid_333,73.3,7.96,1.31,0.74,16.69
-111.901059_40.577081,centroid_334,62.52,10.74,2.89,0.97,22.88
-111.901096_40.381123,centroid_335,49.78,13.68,9.17,0.58,26.79
-111.90145_40.313771,centroid_336,50.5,12.85,7.91,0.65,28.1
-111.903059_40.494693,centroid_337,56.11,12.46,6.74,0.69,24.0
-111.903409_40.874213,centroid_338,75.53,7.06,0.81,0.88,15.72
-111.90514_41.046788,centroid_339,63.62,10.83,0.44,2.58,22.53
-111.905287_40.777647,centroid_340,73.95,7.42,1.19,0.77,16.67
-111.905345_40.512322,centroid_341,57.1,11.73,5.84,0.8,24.54
-111.90667_40.768582,centroid_342,74.13,7.41,1.26,0.7,16.5
-111.908197_40.548717,centroid_343,60.03,10.95,2.94,1.01,25.07
-111.909774_40.60506,centroid_344,63.9,10.42,2.63,0.87,22.18
-111.91017_40.344548,centroid_345,47.92,13.54,9.05,0.67,28.83
-111.910584_40.640952,centroid_346,66.27,9.77,1.88,1.01,21.08
-111.911927_40.404989,centroid_347,49.77,13.85,9.68,0.6,26.1
-111.912153_40.657018,centroid_348,66.77,9.4,1.88,0.97,20.97
-111.913802_40.69076,centroid_349,69.72,8.73,1.6,0.74,19.21
-111.91454_40.617895,centroid_350,64.1,10.2,2.38,0.88,22.44
-111.917798_40.669424,centroid_351,68.48,8.99,1.65,0.88,20.01
-111.917933_40.759681,centroid_352,72.9,7.53,1.24,0.74,17.58
-111.918759_40.997252,centroid_353,59.82,11.1,0.38,2.39,26.31
-111.919045_40.377528,centroid_354,49.05,13.68,9.4,0.55,27.32
-111.919316_40.979235,centroid_355,61.95,10.06,0.38,1.95,25.67
-111.919332_40.871186,centroid_356,77.7,6.36,0.59,0.81,14.54
-111.919482_41.118309,centroid_357,60.81,10.83,0.37,1.86,26.12
-111.921111_40.678954,centroid_358,68.45,8.92,1.68,0.8,20.14
-111.921231_40.88004,centroid_359,76.79,6.43,0.53,0.94,15.29
-111.922588_40.558313,centroid_360,60.99,11.05,2.81,1.03,24.12
-111.92275_40.786583,centroid_361,75.25,7.2,0.9,0.83,15.82
-111.923191_40.47861,centroid_362,55.86,12.54,6.52,0.85,24.23
-111.924105_40.777249,centroid_363,75.41,7.21,0.96,0.84,15.59
-111.924804_40.335698,centroid_364,45.98,13.96,9.27,0.65,30.13
-111.925071_41.155453,centroid_365,61.78,11.09,0.42,2.48,24.23
-111.925578_40.604733,centroid_366,64.26,10.44,2.42,0.87,22.01
-111.925846_41.030577,centroid_367,59.46,11.06,0.46,2.42,26.6
-111.926215_40.744741,centroid_368,71.73,8.07,1.26,0.71,18.24
-111.926241_40.851811,centroid_369,78.54,6.1,0.49,0.7,14.18
-111.927711_40.736088,centroid_370,71.21,8.52,1.4,0.67,18.21
-111.928688_40.399346,centroid_371,49.31,13.69,9.88,0.61,26.51
-111.928991_40.65544,centroid_372,67.04,9.31,1.79,0.93,20.93
-111.929727_41.081537,centroid_373,62.01,10.66,0.34,2.01,24.98
-111.929731_40.530127,centroid_374,59.39,11.2,3.39,1.05,24.96
-111.930032_41.01509,centroid_375,58.76,11.11,0.44,2.09,27.61
-111.930398_40.690919,centroid_376,69.12,8.55,1.54,0.74,20.04
-111.930969_40.511697,centroid_377,57.61,11.82,4.8,1.05,24.73
-111.931051_40.754179,centroid_378,72.56,7.88,1.16,0.79,17.61
-111.931138_41.046136,centroid_379,58.19,11.28,0.55,2.42,27.56
-111.93148_41.096188,centroid_380,62.85,10.72,0.46,1.89,24.09
-111.932342_40.761639,centroid_381,73.32,7.45,0.98,0.84,17.42
-111.93295_40.799939,centroid_382,76.58,6.6,0.79,0.84,15.19
-111.933313_40.675933,centroid_383,69.02,9.04,1.68,0.77,19.48
-111.934071_40.623527,centroid_384,65.42,10.1,1.97,0.99,21.53
-111.934084_40.592789,centroid_385,63.19,10.12,2.32,1.0,23.36
-111.934301_40.711598,centroid_386,70.53,8.49,1.42,0.65,18.92
-111.9393_41.227183,centroid_387,57.98,11.42,0.32,2.34,27.94
-111.939733_40.792705,centroid_388,75.95,6.83,0.74,0.8,15.68
-111.940056_40.641576,centroid_389,66.89,9.49,1.73,1.06,20.83
-111.940642_41.173851,centroid_390,59.37,11.34,0.4,2.1,26.78
-111.940766_41.217122,centroid_391,59.02,11.36,0.37,2.23,27.02
-111.941215_41.083909,centroid_392,62.25,10.91,0.37,1.81,24.66
-111.941272_41.056129,centroid_393,58.69,11.38,0.4,2.06,27.47
-111.941333_41.199064,centroid_394,60.98,11.23,0.41,2.26,25.13
-111.942532_41.247578,centroid_395,57.83,11.69,0.36,2.5,27.64
-111.942826_40.571728,centroid_396,62.36,10.82,2.52,1.17,23.12
-111.94356_40.777338,centroid_397,74.31,7.38,0.85,0.83,16.64
-111.943652_40.55176,centroid_398,61.31,10.73,2.58,1.14,24.23
-111.943836_40.686598,centroid_399,69.56,8.71,1.44,0.71,19.58
-111.9439_40.621723,centroid_400,65.36,9.7,1.97,1.0,21.97
-111.944043_40.590137,centroid_401,62.42,10.34,2.11,1.01,24.12
-111.944538_41.122226,centroid_402,62.36,10.94,0.33,1.82,24.55
-111.944691_40.706825,centroid_403,70.32,8.15,1.39,0.64,19.5
-111.94496_41.068263,centroid_404,60.58,11.28,0.37,2.0,25.77
-111.945068_40.79562,centroid_405,76.05,6.77,0.66,0.85,15.67
-111.946263_40.656115,centroid_406,67.64,9.48,1.67,0.89,20.31
-111.947187_40.692683,centroid_407,70.05,8.62,1.39,0.68,19.26
-111.947479_40.675709,centroid_408,69.48,8.82,1.51,0.78,19.41
-111.94759_41.019595,centroid_409,61.4,10.51,0.33,1.95,25.8
-111.948048_40.530825,centroid_410,60.13,11.25,2.82,1.2,24.6
-111.948176_40.512455,centroid_411,57.93,12.04,4.23,1.03,24.77
-111.948691_41.661653,centroid_412,30.88,19.5,0.18,1.86,47.57
-111.948758_41.154417,centroid_413,60.41,11.19,0.38,1.85,26.18
-111.94913_41.310725,centroid_414,55.85,12.04,0.28,2.5,29.33
-111.949585_41.260822,centroid_415,57.66,11.75,0.3,2.48,27.82
-111.953392_41.225632,centroid_416,59.87,10.77,0.3,2.05,27.0
-111.953453_41.197429,centroid_417,61.05,11.01,0.3,1.96,25.68
-111.953459_41.855698,centroid_418,20.87,22.29,0.1,1.57,55.18
-111.954802_41.318583,centroid_419,54.42,12.03,0.3,2.56,30.68
-111.956877_41.296637,centroid_420,56.18,11.84,0.32,2.49,29.17
-111.957299_40.616163,centroid_421,65.76,9.7,1.81,1.05,21.68
-111.957363_41.211189,centroid_422,60.24,10.92,0.27,1.91,26.67
-111.957765_40.632023,centroid_423,67.35,9.52,1.77,1.09,20.27
-111.95837_41.242293,centroid_424,58.64,11.6,0.35,2.2,27.22
-111.95845_40.60327,centroid_425,64.83,9.99,1.98,0.95,22.25
-111.958641_41.2164,centroid_426,60.55,11.31,0.29,2.01,25.83
-111.959008_41.176728,centroid_427,61.05,10.92,0.31,1.71,26.01
-111.959194_41.282302,centroid_428,56.84,11.8,0.4,2.42,28.54
-111.959583_40.660737,centroid_429,69.02,8.73,1.58,0.86,19.82
-111.960089_40.355034,centroid_430,37.94,16.33,10.69,0.73,34.31
-111.96022_40.690792,centroid_431,70.49,8.54,1.45,0.68,18.84
-111.960315_40.372252,centroid_432,38.96,16.62,11.41,0.65,32.36
-111.960869_40.488003,centroid_433,57.01,12.32,4.74,0.84,25.09
-111.961602_41.272077,centroid_434,56.76,11.98,0.36,2.5,28.41
-111.961721_40.675876,centroid_435,69.33,8.83,1.46,0.76,19.63
-111.962521_40.645717,centroid_436,67.75,8.92,1.59,0.94,20.79
-111.962649_40.588946,centroid_437,64.68,10.18,2.02,1.09,22.03
-111.963274_41.204051,centroid_438,59.99,10.91,0.3,1.76,27.04
-111.964209_41.226269,centroid_439,59.56,10.97,0.3,1.89,27.28
-111.964559_40.700084,centroid_440,71.35,8.1,1.33,0.66,18.55
-111.965115_41.2587,centroid_441,56.91,12.05,0.33,2.27,28.45
-111.965807_40.551035,centroid_442,62.09,10.71,2.25,1.29,23.66
-111.965989_40.708888,centroid_443,71.63,8.09,1.17,0.65,18.47
-111.96665_41.024307,centroid_444,65.13,9.64,0.3,1.66,23.27
-111.968218_41.193171,centroid_445,60.97,10.53,0.35,1.69,26.46
-111.968334_41.095162,centroid_446,61.72,10.79,0.41,1.77,25.31
-111.968683_41.082159,centroid_447,61.55,10.77,0.4,1.8,25.48
-111.9686_41.063783,centroid_448,61.54,10.92,0.3,1.77,25.48
-111.968726_40.772193,centroid_449,74.24,7.18,0.61,0.86,17.1
-111.969202_40.510658,centroid_450,58.99,11.74,3.69,0.96,24.62
-111.969521_40.688171,centroid_451,70.95,8.37,1.29,0.68,18.71
-111.971081_40.572403,centroid_452,64.16,10.37,2.07,1.26,22.15
-111.972082_40.616407,centroid_453,66.54,9.54,1.73,1.12,21.06
-111.972178_40.675112,centroid_454,70.55,8.69,1.36,0.81,18.59
-111.973179_41.226044,centroid_455,58.9,11.11,0.27,1.98,27.74
-111.973573_40.604184,centroid_456,65.89,9.87,1.88,1.03,21.33
-111.974005_40.531144,centroid_457,61.83,10.68,2.23,1.2,24.06
-111.974155_41.212538,centroid_458,59.46,10.84,0.27,1.72,27.71
-111.97438_41.203082,centroid_459,58.75,11.15,0.33,1.73,28.04
-111.975047_41.239805,centroid_460,57.04,11.15,0.21,1.97,29.63
