,centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
70,-111.66852_40.0218,centroid_71,32.85,25.02,0.52,0.61,41.0
71,-111.669581_40.31791,centroid_72,27.67,22.44,3.91,0.75,45.23
72,-111.670525_40.229905,centroid_73,30.0,22.03,2.05,0.73,45.19
73,-111.670583_40.241261,centroid_74,30.03,21.98,2.03,0.81,45.15
74,-111.672308_40.260179,centroid_75,29.98,21.69,2.49,0.8,45.04
75,-111.675307_40.307781,centroid_76,28.1,22.29,3.79,0.84,44.98
76,-111.675375_40.216548,centroid_77,31.15,22.0,1.76,0.73,44.37
77,-111.67667_40.301024,centroid_78,29.29,21.28,3.59,0.77,45.08
78,-111.677531_40.272456,centroid_79,29.29,22.01,2.72,0.75,45.22
79,-111.678764_40.248673,centroid_80,30.36,22.34,2.29,0.68,44.33
80,-111.679132_40.28629,centroid_81,29.31,22.43,3.17,0.78,44.3
81,-111.679405_40.239153,centroid_82,29.77,21.4,1.87,0.77,46.19
82,-111.680296_40.293406,centroid_83,29.47,21.73,3.58,0.79,44.42
83,-111.680631_41.034586,centroid_84,54.21,15.76,1.98,2.1,25.95
84,-111.680815_40.04626,centroid_85,34.08,23.32,0.44,0.69,41.48
85,-111.683992_40.330432,centroid_86,28.68,21.81,4.48,0.75,44.27
86,-111.688027_40.253105,centroid_87,30.82,21.2,2.39,0.74,44.85
87,-111.688126_40.26641,centroid_88,29.73,21.13,2.96,0.73,45.45
88,-111.690637_40.315477,centroid_89,30.17,21.38,4.26,0.78,43.41
89,-111.690945_40.341445,centroid_90,28.8,21.35,4.74,0.75,44.36
90,-111.691222_40.229559,centroid_91,31.3,21.28,1.9,0.76,44.76
91,-111.692342_40.305926,centroid_92,30.82,21.26,4.08,0.78,43.06
92,-111.692399_40.281249,centroid_93,31.24,21.08,3.59,0.75,43.34
93,-111.694003_40.137893,centroid_94,37.61,21.28,0.98,0.71,39.43
94,-111.696181_40.323257,centroid_95,29.59,21.4,4.26,0.72,44.03
95,-111.699522_40.29005,centroid_96,31.82,20.79,3.76,0.75,42.88
96,-111.700685_40.237922,centroid_97,32.41,20.91,2.17,0.76,43.76
97,-111.700895_40.330228,centroid_98,29.22,21.45,4.58,0.73,44.03
98,-111.703961_40.267811,centroid_99,32.34,20.21,3.19,0.75,43.49
99,-111.704086_40.278152,centroid_100,32.74,21.15,3.73,0.73,41.65
100,-111.705269_40.300141,centroid_101,31.4,21.46,4.37,0.79,41.98
101,-111.707002_40.356894,centroid_102,29.9,21.07,5.08,0.72,43.23
102,-111.707774_40.249038,centroid_103,34.56,20.19,2.98,0.73,41.54
103,-111.710463_40.344773,centroid_104,29.32,21.66,5.13,0.74,43.15
104,-111.712872_40.307984,centroid_105,32.07,21.25,4.71,0.79,41.18
105,-111.713951_40.325992,centroid_106,30.94,20.4,4.81,0.78,43.07
106,-111.715583_40.369104,centroid_107,31.73,21.06,5.52,0.75,40.94
107,-111.716827_40.286662,centroid_108,33.53,20.45,4.28,0.76,40.99
108,-111.716853_40.038209,centroid_109,32.39,23.24,0.73,0.67,42.97
109,-111.716874_40.293379,centroid_110,32.23,20.54,4.22,0.73,42.29
110,-111.718073_40.31855,centroid_111,31.24,20.87,4.63,0.73,42.53
111,-111.720009_40.301039,centroid_112,32.51,19.97,4.44,0.73,42.35
112,-111.721079_40.216928,centroid_113,38.53,20.05,2.31,0.79,38.32
113,-111.722361_40.273057,centroid_114,34.6,19.9,4.01,0.71,40.78
114,-111.725362_40.356218,centroid_115,30.69,20.68,5.27,0.76,42.6
115,-111.727036_40.048777,centroid_116,33.28,22.43,0.88,0.61,42.79
116,-111.728061_40.280467,centroid_117,35.3,19.88,4.25,0.72,39.86
117,-111.729658_40.367083,centroid_118,31.45,20.65,5.4,0.76,41.75
118,-111.730211_40.031261,centroid_119,32.72,23.48,1.11,0.62,42.07
119,-111.733955_40.340267,centroid_120,32.37,20.34,5.34,0.71,41.24
120,-111.737492_40.300907,centroid_121,33.81,19.5,4.93,0.72,41.04
121,-111.738181_41.040237,centroid_122,60.52,12.61,1.47,2.1,23.29
122,-111.740352_40.381469,centroid_123,33.91,20.05,5.84,0.73,39.47
123,-111.740466_40.017394,centroid_124,29.24,22.68,1.13,0.63,46.32
124,-111.743288_40.032656,centroid_125,30.75,23.37,1.26,0.68,43.94
125,-111.744123_40.285687,centroid_126,36.11,19.33,4.72,0.73,39.1
126,-111.744399_40.593159,centroid_127,39.84,35.73,6.44,0.4,17.59
127,-111.749055_41.125046,centroid_128,54.42,14.9,0.9,3.14,26.63
128,-111.75038_40.303888,centroid_129,34.95,19.08,5.08,0.7,40.19
129,-111.751071_40.360975,centroid_130,33.99,20.33,5.64,0.76,39.29
130,-111.751631_40.402618,centroid_131,34.83,19.04,6.16,0.73,39.24
131,-111.755119_40.37103,centroid_132,34.06,19.62,5.82,0.7,39.8
132,-111.758195_40.383894,centroid_133,35.87,19.14,6.14,0.69,38.16
133,-111.75884_40.421882,centroid_134,37.26,18.17,6.67,0.69,37.2
134,-111.760547_40.052672,centroid_135,32.58,20.99,1.24,0.64,44.55
135,-111.761646_40.399297,centroid_136,37.04,18.64,6.32,0.67,37.32
136,-111.76706_40.445054,centroid_137,38.83,17.49,6.76,0.71,36.2
137,-111.767634_40.363462,centroid_138,35.05,19.12,6.43,0.72,38.68
138,-111.770417_40.46392,centroid_139,39.73,17.05,7.07,0.66,35.49
139,-111.770737_40.73081,centroid_140,65.69,11.39,4.48,0.78,17.65
140,-111.773142_39.968359,centroid_141,29.62,21.6,0.83,0.64,47.31
141,-111.780287_41.669812,centroid_142,35.68,18.4,0.5,2.83,42.59
142,-111.7804_40.378335,centroid_143,36.02,19.12,6.87,0.7,37.29
143,-111.784488_40.390123,centroid_144,36.03,17.86,6.71,0.71,38.69
144,-111.786278_39.970777,centroid_145,29.82,21.24,0.58,0.66,47.7
145,-111.787217_39.984341,centroid_146,30.48,20.44,0.84,0.56,47.67
146,-111.789625_40.369928,centroid_147,36.15,18.76,6.75,0.68,37.66
147,-111.790522_40.421003,centroid_148,41.38,17.52,7.03,0.72,33.35
148,-111.79156_40.60039,centroid_149,58.83,12.92,7.81,0.63,19.81
149,-111.792477_40.674211,centroid_150,65.13,10.87,4.82,0.69,18.5
150,-111.793161_40.447365,centroid_151,43.45,16.24,7.03,0.67,32.62
151,-111.794628_41.782695,centroid_152,28.95,20.42,0.23,2.32,48.07
152,-111.79482_41.308173,centroid_153,54.27,14.79,0.41,2.82,27.7
153,-111.797104_41.75237,centroid_154,29.92,21.25,0.26,1.96,46.62
154,-111.801658_40.599156,centroid_155,60.38,12.17,6.95,0.62,19.88
155,-111.804059_40.615886,centroid_156,61.46,11.88,6.5,0.64,19.53
156,-111.807543_40.385992,centroid_157,37.65,17.7,7.15,0.68,36.82
157,-111.807684_40.395088,centroid_158,37.75,17.9,7.25,0.71,36.39
158,-111.809458_40.402597,centroid_159,37.93,17.81,7.17,0.75,36.35
159,-111.809883_41.746672,centroid_160,31.02,20.78,0.22,1.88,46.1
160,-111.809951_41.727347,centroid_161,32.88,20.52,0.22,1.84,44.53
161,-111.81092_40.693486,centroid_162,67.76,9.61,2.73,0.87,19.04
162,-111.811418_40.681534,centroid_163,67.42,9.42,2.72,0.91,19.53
163,-111.812698_40.705096,centroid_164,67.61,9.42,2.81,0.92,19.24
164,-111.812843_40.738205,centroid_165,68.38,9.57,2.77,0.8,18.49
165,-111.814136_40.668241,centroid_166,66.81,10.01,3.44,0.74,19.01
166,-111.815852_40.425107,centroid_167,43.58,16.26,7.21,0.67,32.28
167,-111.815956_41.688693,centroid_168,33.07,20.41,0.27,2.01,44.24
168,-111.817619_40.414016,centroid_169,41.53,17.34,7.56,0.68,32.89
169,-111.818116_41.792341,centroid_170,28.74,22.19,0.27,2.04,46.76
170,-111.818358_40.725601,centroid_171,68.55,9.29,2.4,0.83,18.93
171,-111.818717_40.457745,centroid_172,50.0,14.07,7.28,0.59,28.06
172,-111.818751_41.747656,centroid_173,31.13,21.42,0.24,2.01,45.2
173,-111.818861_40.583571,centroid_174,60.68,12.13,5.7,0.67,20.83
174,-111.819036_40.550046,centroid_175,55.9,13.35,7.06,0.71,22.99
175,-111.81914_40.389094,centroid_176,38.7,17.23,7.46,0.65,35.96
176,-111.819413_40.628684,centroid_177,63.84,11.16,5.08,0.71,19.22
177,-111.819544_41.833667,centroid_178,27.32,21.78,0.21,1.84,48.86
178,-111.820542_41.753457,centroid_179,31.4,21.04,0.26,1.96,45.35
179,-111.820548_41.709977,centroid_180,33.08,19.91,0.25,1.81,44.95
180,-111.821178_40.598865,centroid_181,62.24,11.8,5.17,0.75,20.04
181,-111.821453_41.940066,centroid_182,24.26,22.59,0.15,1.87,51.14
182,-111.822335_41.768353,centroid_183,29.43,20.91,0.19,1.82,47.64
183,-111.822358_40.647882,centroid_184,65.49,10.64,4.08,0.75,19.04
184,-111.822423_40.608806,centroid_185,62.6,11.47,4.83,0.79,20.31
185,-111.822675_41.731046,centroid_186,31.63,20.61,0.25,1.94,45.56
186,-111.822761_40.72054,centroid_187,69.17,9.4,2.28,0.84,18.31
187,-111.82303_40.590995,centroid_188,61.92,11.23,5.03,0.73,21.09
188,-111.824953_41.739378,centroid_189,31.92,21.5,0.22,1.91,44.45
189,-111.824977_40.368113,centroid_190,40.4,17.06,7.29,0.64,34.6
190,-111.825164_40.574221,centroid_191,60.99,11.86,5.17,0.7,21.27
191,-111.825315_40.618717,centroid_192,63.51,11.04,4.41,0.74,20.3
192,-111.827578_40.565723,centroid_193,59.67,11.87,5.39,0.69,22.38
193,-111.83104_41.630386,centroid_194,34.71,20.91,0.23,2.11,42.04
194,-111.831768_40.76318,centroid_195,69.88,9.45,2.72,0.69,17.26
195,-111.831813_40.693661,centroid_196,68.16,9.06,2.14,0.77,19.87
196,-111.832737_40.737207,centroid_197,69.31,9.17,2.21,0.79,18.52
197,-111.833836_40.729518,centroid_198,69.59,9.05,2.13,0.76,18.47
198,-111.834129_40.680721,centroid_199,68.55,9.23,2.2,0.79,19.22
199,-111.834551_40.405548,centroid_200,40.9,17.16,7.94,0.68,33.32
200,-111.834821_41.571693,centroid_201,35.79,20.96,0.39,2.46,40.39
201,-111.834867_40.534818,centroid_202,55.56,13.03,7.11,0.65,23.65
202,-111.835416_40.668251,centroid_203,67.15,9.25,2.26,0.76,20.58
203,-111.836125_40.745913,centroid_204,69.56,9.27,2.5,0.67,18.0
204,-111.83622_40.705081,centroid_205,68.91,8.8,1.99,0.73,19.56
205,-111.836308_40.752159,centroid_206,69.5,9.22,2.47,0.72,18.09
206,-111.840653_40.425278,centroid_207,46.81,15.03,7.84,0.61,29.71
207,-111.841414_40.598136,centroid_208,62.93,10.61,3.5,0.76,22.2
208,-111.84258_41.724841,centroid_209,32.5,20.49,0.21,1.85,44.95
209,-111.842757_41.742672,centroid_210,30.09,21.0,0.19,1.79,46.92
210,-111.842942_41.839116,centroid_211,27.75,21.58,0.18,1.8,48.69
211,-111.843074_40.502221,centroid_212,52.8,14.69,8.69,0.57,23.24
212,-111.843206_41.758231,centroid_213,29.97,20.87,0.16,1.86,47.14
213,-111.84356_40.547135,centroid_215,60.16,11.31,4.77,0.77,23.0
214,-111.8435_40.66169,centroid_214,67.95,9.33,2.17,0.76,19.79
215,-111.844289_40.587869,centroid_216,63.04,10.94,3.78,0.77,21.47
216,-111.844394_40.620095,centroid_217,65.66,10.08,3.18,0.74,20.35
217,-111.844503_40.64516,centroid_218,66.16,9.61,2.59,0.81,20.83
218,-111.844773_40.571257,centroid_219,61.78,11.07,4.21,0.75,22.19
219,-111.845813_40.635795,centroid_220,66.22,9.83,2.81,0.8,20.34
220,-111.846344_39.973192,centroid_221,25.63,20.8,1.52,0.65,51.4
221,-111.847221_40.715345,centroid_222,69.43,8.83,1.83,0.79,19.13
222,-111.847278_40.874379,centroid_223,73.35,8.23,1.46,1.1,15.86
223,-111.847386_40.628148,centroid_224,65.5,9.99,2.82,0.76,20.92
224,-111.847776_40.729553,centroid_225,70.22,8.87,1.95,0.77,18.19
225,-111.847802_40.608397,centroid_226,64.29,10.21,3.2,0.75,21.55
226,-111.847845_40.746043,centroid_227,69.78,8.84,1.92,0.75,18.71
227,-111.848384_40.73777,centroid_228,69.62,8.78,1.86,0.72,19.02
228,-111.848461_40.692693,centroid_229,69.11,8.99,1.9,0.77,19.24
229,-111.848521_40.654587,centroid_230,67.19,9.51,2.45,0.74,20.11
230,-111.849339_40.679694,centroid_231,67.89,9.05,1.96,0.78,20.31
231,-111.850591_40.407356,centroid_232,44.24,16.11,8.26,0.66,30.72
232,-111.851178_40.385298,centroid_233,43.5,15.98,7.95,0.65,31.91
233,-111.852251_40.722852,centroid_234,69.94,8.86,1.74,0.77,18.69
234,-111.852338_41.678225,centroid_235,34.49,20.16,0.19,1.92,43.24
235,-111.852681_40.709441,centroid_236,69.46,8.7,1.79,0.77,19.27
236,-111.852811_41.296207,centroid_237,55.14,13.58,0.37,2.62,28.29
237,-111.854272_41.721677,centroid_238,31.86,20.16,0.22,1.81,45.96
238,-111.857382_40.764701,centroid_239,70.75,8.73,1.84,0.81,17.88
239,-111.857441_40.756731,centroid_240,70.69,8.66,1.8,0.78,18.07
240,-111.857552_40.781281,centroid_241,71.43,8.92,1.86,0.85,16.95
241,-111.858454_40.399603,centroid_242,44.62,15.73,8.15,0.63,30.86
242,-111.858486_40.371842,centroid_243,46.03,14.55,7.88,0.63,30.9
243,-111.858701_40.423438,centroid_244,49.42,14.39,8.64,0.61,26.94
244,-111.859304_40.657416,centroid_245,67.27,9.07,2.1,0.78,20.78
245,-111.859405_40.641452,centroid_246,66.36,9.6,2.53,0.77,20.75
246,-111.861182_40.536773,centroid_247,60.13,11.11,4.48,0.81,23.47
247,-111.861626_40.572519,centroid_248,63.75,10.44,3.4,0.82,21.59
248,-111.861722_40.729313,centroid_249,70.31,8.59,1.7,0.77,18.63
249,-111.86177_40.877164,centroid_250,74.15,8.27,1.3,1.31,14.98
250,-111.86226_40.737444,centroid_251,70.99,8.58,1.62,0.78,18.04
251,-111.862514_40.669789,centroid_252,68.48,9.04,1.82,0.83,19.84
252,-111.862619_40.602573,centroid_253,65.1,9.98,3.01,0.83,21.08
253,-111.862851_40.865278,centroid_254,73.77,8.04,1.18,1.27,15.74
254,-111.862856_40.745607,centroid_255,71.28,8.45,1.63,0.8,17.84
255,-111.86297_40.551209,centroid_256,61.89,10.9,3.93,0.81,22.47
256,-111.863208_40.77244,centroid_257,70.83,8.8,1.96,0.82,17.6
257,-111.863557_40.681382,centroid_258,68.9,8.68,1.84,0.84,19.74
258,-111.863717_40.692769,centroid_259,69.12,8.68,1.73,0.76,19.71
259,-111.863983_40.894304,centroid_260,71.74,8.91,1.29,1.46,16.6
260,-111.864303_40.704178,centroid_261,69.18,8.63,1.65,0.79,19.75
261,-111.864406_40.588712,centroid_262,64.49,10.28,3.23,0.79,21.21
262,-111.864857_40.615566,centroid_263,64.98,10.06,2.81,0.84,21.31
263,-111.865394_40.492158,centroid_264,53.88,13.29,8.85,0.53,23.45
264,-111.865449_40.625868,centroid_265,65.58,9.69,2.69,0.87,21.17
265,-111.866206_41.635103,centroid_266,34.43,19.68,0.14,1.98,43.77
266,-111.866862_40.755854,centroid_267,71.51,8.43,1.71,0.75,17.6
267,-111.866996_40.765141,centroid_268,71.01,8.47,1.67,0.78,18.07
268,-111.868916_40.915806,centroid_269,71.06,9.28,1.24,1.6,16.82
269,-111.870361_40.504081,centroid_270,55.07,13.27,8.07,0.71,22.88
270,-111.871449_40.717463,centroid_271,70.26,8.51,1.54,0.73,18.96
271,-111.872719_40.562795,centroid_272,62.05,10.55,3.31,0.86,23.24
272,-111.873091_40.426072,centroid_273,50.31,13.95,8.86,0.65,26.22
273,-111.873714_40.779573,centroid_274,72.55,8.23,1.57,0.86,16.79
274,-111.874022_40.655416,centroid_275,68.67,9.25,1.83,0.88,19.37
275,-111.874406_40.676796,centroid_276,68.77,8.71,1.73,0.81,19.98
276,-111.875063_40.37769,centroid_277,50.22,13.62,8.07,0.6,27.49
277,-111.875311_40.772914,centroid_278,72.77,7.94,1.54,0.83,16.93
278,-111.875367_40.636096,centroid_279,66.05,9.64,2.34,0.76,21.21
279,-111.875672_40.513778,centroid_280,58.45,11.85,6.38,0.73,22.59
280,-111.875781_40.754422,centroid_281,71.19,8.38,1.46,0.78,18.19
281,-111.875818_40.764404,centroid_282,72.83,7.94,1.56,0.81,16.86
282,-111.876157_41.714552,centroid_283,31.96,19.89,0.15,1.74,46.27
283,-111.877445_40.669124,centroid_284,68.94,8.82,1.76,0.86,19.62
284,-111.877468_40.70068,centroid_285,69.78,8.54,1.59,0.77,19.31
285,-111.879471_40.73788,centroid_286,71.41,8.26,1.67,0.75,17.9
286,-111.87952_40.575392,centroid_287,63.04,10.36,3.07,0.84,22.7
287,-111.879796_40.729599,centroid_288,71.86,8.23,1.5,0.73,17.67
288,-111.880198_40.625922,centroid_289,66.64,9.74,2.53,0.78,20.3
289,-111.880264_40.947095,centroid_290,66.77,9.97,0.97,2.03,20.25
290,-111.880271_40.536113,centroid_291,60.57,10.93,4.13,0.88,23.49
291,-111.880354_40.649455,centroid_292,66.58,9.16,1.99,0.86,21.41
292,-111.880422_40.58988,centroid_293,64.35,10.06,2.95,0.88,21.75
293,-111.880898_40.614977,centroid_294,65.23,9.57,2.78,0.89,21.53
294,-111.881104_40.917952,centroid_295,69.4,9.47,1.09,1.57,18.46
295,-111.881334_40.682113,centroid_296,69.99,8.62,1.77,0.77,18.85
296,-111.881354_40.549923,centroid_297,61.53,10.61,3.4,0.87,23.59
297,-111.881768_40.480941,centroid_298,54.58,13.1,9.0,0.62,22.7
298,-111.881785_40.444442,centroid_299,53.78,13.29,9.13,0.61,23.19
299,-111.88196_40.764527,centroid_300,71.12,8.07,1.36,0.8,18.64
300,-111.882175_40.745419,centroid_301,71.5,8.1,1.46,0.75,18.18
301,-111.882194_40.395414,centroid_302,50.96,13.7,8.4,0.64,26.31
302,-111.882269_40.694385,centroid_303,69.83,8.5,1.67,0.77,19.23
303,-111.882317_40.900031,centroid_304,70.7,8.93,1.11,1.27,17.98
304,-111.88253_40.715604,centroid_305,69.64,8.46,1.59,0.81,19.5
305,-111.882661_40.889559,centroid_306,72.17,8.44,1.04,1.14,17.2
306,-111.882759_40.754432,centroid_307,71.58,8.17,1.4,0.77,18.09
307,-111.882872_40.847279,centroid_308,75.17,7.69,1.09,1.15,14.9
308,-111.883523_40.60328,centroid_309,64.76,10.06,2.73,0.85,21.59
309,-111.883623_40.293274,centroid_310,51.3,13.03,7.2,0.62,27.85
310,-111.883824_40.876949,centroid_311,74.55,7.69,0.99,1.09,15.69
311,-111.883872_40.77208,centroid_312,72.76,7.88,1.44,0.77,17.15
312,-111.884464_40.976161,centroid_313,68.17,9.21,0.68,2.26,19.68
313,-111.884545_40.862897,centroid_314,75.59,7.32,0.99,1.08,15.02
314,-111.885089_40.792854,centroid_315,75.06,7.55,1.34,0.85,15.21
315,-111.886449_40.511462,centroid_316,58.51,11.88,6.49,0.7,22.42
316,-111.891352_40.929521,centroid_317,65.82,9.96,0.85,1.67,21.7
317,-111.892787_40.773742,centroid_318,72.92,8.0,1.35,0.79,16.95
318,-111.893005_40.414866,centroid_319,50.87,13.75,9.61,0.58,25.19
319,-111.893719_40.689976,centroid_320,69.94,8.69,1.71,0.78,18.88
320,-111.894162_40.67293,centroid_321,69.1,8.88,1.6,0.81,19.61
321,-111.894345_40.63967,centroid_322,67.07,9.39,1.87,0.91,20.77
322,-111.894446_40.759154,centroid_323,73.05,7.74,1.38,0.73,17.09
323,-111.894572_40.738365,centroid_324,72.45,7.97,1.42,0.71,17.45
324,-111.895844_40.780716,centroid_325,74.3,7.78,1.24,0.74,15.93
325,-111.895943_40.618485,centroid_326,65.54,9.76,2.42,0.83,21.45
326,-111.896706_40.598219,centroid_327,64.42,9.82,2.72,0.89,22.15
327,-111.897019_40.835373,centroid_328,76.71,6.95,0.88,0.95,14.5
328,-111.898457_40.431784,centroid_329,52.64,13.39,9.42,0.66,23.9
329,-111.898477_41.004626,centroid_330,65.39,10.06,0.45,2.38,21.73
330,-111.898566_40.848982,centroid_331,77.5,6.43,0.78,0.79,14.5
331,-111.898917_40.712146,centroid_332,71.12,8.15,1.5,0.76,18.46
332,-111.900611_40.763008,centroid_333,73.89,7.78,1.28,0.73,16.32
333,-111.901059_40.577081,centroid_334,63.89,10.35,2.78,0.93,22.04
334,-111.901096_40.381123,centroid_335,51.42,13.24,8.87,0.56,25.92
335,-111.90145_40.313771,centroid_336,52.25,12.39,7.63,0.62,27.11
336,-111.903059_40.494693,centroid_337,57.56,12.05,6.52,0.66,23.21
337,-111.903409_40.874213,centroid_338,75.9,6.95,0.8,0.87,15.48
338,-111.90514_41.046788,centroid_339,64.39,10.6,0.43,2.53,22.05
339,-111.905287_40.777647,centroid_340,74.44,7.28,1.17,0.75,16.35
340,-111.905345_40.512322,centroid_341,58.62,11.31,5.63,0.77,23.67
341,-111.90667_40.768582,centroid_342,74.64,7.27,1.23,0.68,16.18
342,-111.908197_40.548717,centroid_343,61.51,10.55,2.83,0.98,24.14
343,-111.909774_40.60506,centroid_344,65.34,10.01,2.52,0.84,21.29
344,-111.91017_40.344548,centroid_345,49.63,13.09,8.75,0.65,27.88
