,centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
426,-111.959008_41.176728,centroid_427,61.53,10.78,0.31,1.69,25.69
427,-111.959194_41.282302,centroid_428,57.49,11.62,0.39,2.39,28.11
428,-111.959583_40.660737,centroid_429,70.77,8.23,1.49,0.81,18.7
429,-111.960089_40.355034,centroid_430,40.11,15.76,10.32,0.71,33.11
430,-111.96022_40.690792,centroid_431,71.86,8.14,1.38,0.65,17.97
431,-111.960315_40.372252,centroid_432,41.14,16.03,11.0,0.62,31.21
432,-111.960869_40.488003,centroid_433,59.32,11.66,4.48,0.8,23.74
433,-111.961602_41.272077,centroid_434,57.45,11.79,0.35,2.46,27.95
434,-111.961721_40.675876,centroid_435,70.94,8.37,1.38,0.72,18.59
435,-111.962521_40.645717,centroid_436,69.81,8.35,1.49,0.88,19.47
436,-111.962649_40.588946,centroid_437,66.58,9.63,1.91,1.04,20.84
437,-111.963274_41.204051,centroid_438,60.45,10.78,0.3,1.74,26.73
438,-111.964209_41.226269,centroid_439,60.08,10.83,0.29,1.87,26.93
439,-111.964559_40.700084,centroid_440,72.67,7.73,1.27,0.63,17.7
440,-111.965115_41.2587,centroid_441,57.54,11.87,0.32,2.24,28.03
441,-111.965807_40.551035,centroid_442,64.1,10.14,2.13,1.22,22.41
442,-111.965989_40.708888,centroid_443,72.83,7.74,1.12,0.62,17.68
443,-111.96665_41.024307,centroid_444,65.58,9.51,0.3,1.64,22.97
444,-111.968218_41.193171,centroid_445,61.42,10.4,0.35,1.67,26.15
445,-111.968334_41.095162,centroid_446,62.22,10.64,0.41,1.75,24.98
446,-111.968683_41.082159,centroid_448,62.03,10.63,0.4,1.78,25.17
447,-111.9686_41.063783,centroid_447,62.03,10.78,0.3,1.74,25.15
448,-111.968726_40.772193,centroid_449,74.89,7.0,0.6,0.84,16.67
449,-111.969202_40.510658,centroid_450,61.19,11.11,3.49,0.91,23.29
450,-111.969521_40.688171,centroid_451,72.54,7.91,1.22,0.64,17.68
451,-111.971081_40.572403,centroid_452,66.37,9.73,1.94,1.18,20.78
452,-111.972082_40.616407,centroid_453,68.67,8.94,1.62,1.05,19.72
453,-111.972178_40.675112,centroid_454,72.29,8.18,1.28,0.76,17.49
454,-111.973179_41.226044,centroid_455,59.43,10.96,0.27,1.95,27.39
455,-111.973573_40.604184,centroid_456,68.08,9.24,1.76,0.97,19.96
456,-111.974005_40.531144,centroid_457,64.11,10.04,2.1,1.13,22.62
457,-111.974155_41.212538,centroid_458,59.93,10.71,0.27,1.7,27.38
458,-111.97438_41.203082,centroid_459,59.27,11.01,0.33,1.71,27.69
459,-111.975047_41.239805,centroid_460,57.59,11.01,0.21,1.94,29.25
460,-111.975796_40.631238,centroid_461,70.35,8.55,1.58,1.04,18.48
461,-111.975978_40.544886,centroid_462,65.19,10.11,2.0,1.21,21.5
462,-111.976022_40.660124,centroid_463,71.24,8.02,1.36,0.79,18.58
463,-111.977644_40.646834,centroid_464,71.51,8.33,1.38,0.88,17.9
464,-111.978806_41.179923,centroid_465,63.11,10.43,0.23,1.61,24.62
465,-111.979543_41.258746,centroid_466,57.44,11.28,0.24,2.14,28.89
466,-111.980286_41.169234,centroid_467,63.62,10.24,0.3,1.5,24.34
467,-111.980431_41.284824,centroid_468,57.05,11.89,0.32,2.35,28.39
468,-111.981298_41.04229,centroid_469,66.48,9.55,0.27,1.58,22.12
469,-111.981719_41.099645,centroid_470,64.37,10.58,0.35,1.68,23.02
470,-111.982206_40.688298,centroid_471,73.77,7.47,1.17,0.64,16.95
471,-111.982771_40.674941,centroid_472,73.3,7.92,1.18,0.82,16.78
472,-111.983151_41.326667,centroid_473,55.95,11.9,0.31,2.41,29.43
473,-111.983191_40.357191,centroid_474,36.09,17.22,11.13,0.82,34.74
474,-111.984192_40.558121,centroid_475,66.08,9.75,1.95,1.22,21.0
475,-111.985378_41.114437,centroid_476,63.49,10.18,0.33,1.69,24.32
476,-111.985541_40.628845,centroid_477,70.56,8.51,1.42,1.07,18.43
477,-111.98624_41.299845,centroid_478,55.89,11.4,0.27,2.33,30.1
478,-111.987143_41.054503,centroid_479,65.89,9.27,0.28,1.65,22.92
479,-111.987762_40.584366,centroid_480,68.03,8.89,1.7,1.09,20.29
480,-111.988183_40.486484,centroid_481,59.88,11.59,3.01,1.08,24.45
481,-111.989418_41.940102,centroid_482,19.25,22.06,0.13,1.52,57.04
482,-111.989566_41.095744,centroid_483,65.91,9.68,0.25,1.57,22.59
483,-111.989971_41.260981,centroid_484,57.1,11.43,0.21,2.2,29.05
484,-111.990743_40.700582,centroid_485,74.12,7.39,0.94,0.59,16.96
485,-111.992476_40.643452,centroid_486,72.68,8.01,1.2,0.88,17.22
486,-111.993479_40.59462,centroid_487,68.48,8.89,1.62,1.08,19.92
487,-111.993725_40.363105,centroid_488,35.43,17.24,10.42,0.9,36.01
488,-111.99379_41.081887,centroid_489,66.05,9.63,0.28,1.6,22.45
489,-111.994723_40.660784,centroid_490,73.25,7.77,1.07,0.84,17.07
490,-111.995243_40.572848,centroid_491,68.41,8.99,1.69,1.19,19.72
491,-111.995718_40.674288,centroid_492,73.01,7.63,1.01,0.8,17.55
492,-111.995826_40.616686,centroid_493,70.68,8.61,1.4,1.07,18.24
493,-111.996017_40.556347,centroid_494,67.29,9.4,1.92,1.23,20.16
494,-111.996204_40.688709,centroid_495,73.7,7.44,0.99,0.67,17.2
495,-111.99729_40.64703,centroid_496,72.99,7.9,1.16,0.93,17.03
496,-111.997813_41.188851,centroid_497,62.23,10.63,0.27,1.73,25.14
497,-111.998657_41.219744,centroid_498,58.38,11.26,0.22,1.8,28.33
498,-112.000428_41.31434,centroid_499,55.8,11.51,0.17,2.35,30.18
499,-112.000709_40.529665,centroid_500,64.52,9.77,2.02,1.2,22.49
500,-112.001492_40.541008,centroid_501,65.86,9.59,1.9,1.24,21.4
501,-112.001644_41.10941,centroid_502,68.05,9.24,0.33,1.54,20.84
502,-112.003382_41.521646,centroid_503,44.23,15.06,0.15,1.64,38.93
503,-112.003874_40.617978,centroid_504,71.52,8.45,1.4,1.1,17.52
504,-112.00425_40.70772,centroid_505,75.12,7.12,0.79,0.66,16.32
505,-112.004627_41.172579,centroid_506,65.07,10.51,0.21,1.58,22.62
506,-112.007187_40.662033,centroid_507,73.41,7.57,1.09,0.89,17.05
507,-112.007791_40.31239,centroid_508,33.17,17.32,11.44,0.83,37.23
508,-112.008483_41.516544,centroid_509,46.44,14.59,0.13,1.82,37.02
509,-112.008946_41.267921,centroid_510,55.62,11.61,0.26,2.07,30.45
510,-112.00913_40.645508,centroid_511,72.76,8.13,1.12,0.96,17.04
511,-112.009192_41.497793,centroid_512,45.55,14.93,0.16,1.89,37.47
512,-112.009729_40.483189,centroid_513,61.05,11.48,2.49,1.15,23.83
513,-112.010258_41.097492,centroid_514,67.92,9.37,0.21,1.5,20.99
514,-112.011518_40.558685,centroid_515,67.29,9.48,1.7,1.32,20.22
515,-112.011919_40.30206,centroid_516,32.64,17.58,11.22,0.84,37.73
516,-112.012235_40.493281,centroid_517,61.4,11.47,2.31,1.22,23.6
517,-112.012244_40.616436,centroid_518,71.99,8.31,1.26,1.19,17.26
518,-112.012293_40.678312,centroid_519,73.97,7.44,0.99,0.83,16.77
519,-112.013095_40.593192,centroid_520,70.15,8.95,1.54,1.25,18.11
520,-112.013694_41.081241,centroid_521,68.28,8.84,0.22,1.48,21.18
521,-112.013799_40.502771,centroid_522,62.8,10.91,2.28,1.05,22.97
522,-112.013847_40.514439,centroid_523,63.75,10.33,1.96,1.44,22.52
523,-112.013886_40.700084,centroid_524,74.47,7.18,0.83,0.69,16.83
524,-112.013913_40.68891,centroid_525,73.55,7.37,0.92,0.72,17.44
525,-112.015179_41.41467,centroid_526,54.03,11.57,0.19,2.2,32.01
526,-112.015221_40.634595,centroid_527,72.27,7.98,1.15,1.13,17.47
527,-112.015384_40.672285,centroid_528,74.59,7.4,0.87,0.84,16.3
528,-112.015703_40.627586,centroid_529,72.21,8.2,1.21,1.19,17.2
529,-112.016916_41.112229,centroid_530,68.42,9.18,0.31,1.44,20.65
530,-112.01748_40.360281,centroid_531,34.99,18.17,9.46,1.08,36.29
531,-112.017792_40.658171,centroid_532,73.24,7.6,0.97,0.91,17.29
532,-112.019615_40.603192,centroid_533,71.08,8.55,1.29,1.29,17.79
533,-112.019787_40.646025,centroid_534,72.65,7.63,1.04,0.95,17.73
