centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-111.076544_40.789839,centroid_1,29.33,37.1,3.11,0.52,29.94
-111.276811_40.62636,centroid_2,26.01,33.32,3.76,0.63,36.29
-111.282991_40.698113,centroid_3,30.81,29.36,3.73,0.67,35.43
-111.285765_41.776494,centroid_4,36.25,25.01,2.07,3.94,32.72
-111.364916_40.598384,centroid_5,26.45,31.16,4.76,0.68,36.95
-111.366196_40.490448,centroid_6,22.76,29.35,2.44,0.71,44.75
-111.380301_40.881808,centroid_7,32.81,26.02,8.95,0.69,31.52
-111.399741_40.517545,centroid_8,23.15,30.05,3.58,0.67,42.55
-111.402199_40.499864,centroid_9,23.35,27.32,3.11,0.71,45.51
-111.408202_40.477897,centroid_10,22.45,27.49,2.53,0.78,46.75
-111.420382_40.504007,centroid_11,22.76,27.98,3.52,0.76,44.98
-111.420779_40.48159,centroid_12,22.84,27.71,2.82,0.77,45.87
-111.434906_40.409967,centroid_13,21.66,29.05,1.79,0.63,46.87
-111.440744_40.757146,centroid_14,42.89,20.49,6.16,0.68,29.8
-111.442008_40.974532,centroid_15,47.86,20.47,9.79,0.64,21.23
-111.463355_40.506679,centroid_16,23.33,28.69,3.6,0.69,43.68
-111.47918_40.522269,centroid_17,25.18,28.25,4.14,0.76,41.67
-111.491737_40.657076,centroid_18,40.09,22.43,5.99,0.67,30.82
-111.505176_40.677097,centroid_19,42.59,20.58,6.69,0.6,29.55
-111.510946_40.65549,centroid_20,39.4,23.1,6.1,0.68,30.72
-111.510973_40.749146,centroid_21,50.77,16.95,6.99,0.63,24.66
-111.521423_40.710945,centroid_22,46.28,19.98,7.03,0.64,26.06
-111.523984_40.160043,centroid_23,27.02,27.41,1.15,0.84,43.58
-111.555312_40.702311,centroid_24,43.53,21.89,7.06,0.64,26.88
-111.57445_40.155571,centroid_25,30.89,24.19,0.62,0.8,43.5
-111.578766_40.760625,centroid_26,51.18,19.49,6.96,0.59,21.78
-111.579662_40.141332,centroid_27,29.33,24.0,0.51,0.78,45.37
-111.58085_40.12006,centroid_28,27.08,25.4,0.59,0.81,46.12
-111.586724_40.743115,centroid_29,48.42,21.74,7.11,0.59,22.13
-111.589586_40.153301,centroid_30,29.84,23.62,0.59,0.73,45.22
-111.594259_40.169936,centroid_31,30.61,23.27,0.86,0.77,44.49
-111.600062_40.162271,centroid_32,29.56,23.82,0.75,0.74,45.13
-111.602842_40.150459,centroid_33,29.41,23.97,0.64,0.72,45.26
-111.604913_40.177464,centroid_34,29.7,23.42,0.78,0.77,45.32
-111.608735_40.089857,centroid_35,30.67,24.21,0.36,0.75,44.01
-111.61045_40.126741,centroid_36,30.54,23.59,0.43,0.67,44.77
-111.614768_40.171519,centroid_37,29.39,23.44,0.74,0.76,45.67
-111.618345_40.106963,centroid_38,30.24,24.36,0.41,0.74,44.24
-111.623879_40.092185,centroid_39,30.41,23.79,0.36,0.8,44.63
-111.628876_40.159185,centroid_40,29.0,23.23,0.75,0.69,46.33
-111.62903_40.214505,centroid_41,29.29,24.24,1.1,0.78,44.6
-111.629498_40.123103,centroid_42,30.54,24.01,0.57,0.71,44.17
-111.632447_40.106182,centroid_43,31.31,24.11,0.51,0.74,43.33
-111.634914_40.233733,centroid_44,28.22,23.85,1.51,0.77,45.65
-111.635536_40.253363,centroid_45,27.07,24.58,2.54,0.79,45.03
-111.636945_40.2272,centroid_46,28.98,23.17,1.36,0.8,45.69
-111.638428_40.240275,centroid_47,27.17,23.05,1.94,0.78,47.06
-111.638558_40.096336,centroid_48,32.6,23.12,0.36,0.72,43.2
-111.640686_40.258373,centroid_49,26.96,23.32,2.64,0.85,46.23
-111.64194_40.218808,centroid_50,29.07,23.02,1.17,0.77,45.97
-111.646087_40.11793,centroid_51,32.05,22.35,0.73,0.71,44.16
-111.646814_40.276497,centroid_52,26.45,23.15,2.65,0.77,46.98
-111.64752_40.29044,centroid_53,26.13,24.02,2.95,0.81,46.09
-111.64757_40.110315,centroid_54,33.27,22.49,0.65,0.67,42.93
-111.64853_40.2644,centroid_55,27.04,22.96,2.57,0.77,46.66
-111.648661_40.251416,centroid_56,27.45,23.96,2.6,0.77,45.21
-111.649372_40.230038,centroid_57,29.05,22.55,1.56,0.71,46.12
-111.650703_40.240069,centroid_58,28.63,22.94,2.33,0.74,45.35
-111.650786_40.236052,centroid_59,28.68,21.79,1.78,0.75,47.01
-111.650822_40.243418,centroid_60,27.74,22.93,2.45,0.82,46.05
-111.65995_40.25576,centroid_61,27.95,22.6,2.44,0.77,46.23
-111.660551_40.232836,centroid_62,29.26,22.77,2.09,0.74,45.15
-111.66172_40.114122,centroid_63,34.21,22.6,0.86,0.68,41.66
-111.662169_40.242473,centroid_64,29.28,22.62,2.22,0.75,45.13
-111.662305_40.280341,centroid_65,26.54,22.17,2.7,0.77,47.81
-111.662739_40.083359,centroid_66,34.55,22.8,0.38,0.74,41.54
-111.66314_40.048822,centroid_67,34.44,22.32,0.42,0.64,42.18
-111.666038_40.25546,centroid_68,28.85,22.26,2.25,0.76,45.88
-111.667578_40.222519,centroid_69,29.49,22.85,1.85,0.7,45.11
-111.667748_40.104488,centroid_70,34.59,22.84,0.84,0.7,41.03
-111.66852_40.0218,centroid_71,32.06,25.32,0.52,0.62,41.49
-111.669581_40.31791,centroid_72,26.65,22.75,3.97,0.76,45.87
-111.670525_40.229905,centroid_73,29.09,22.32,2.08,0.74,45.77
-111.670583_40.241261,centroid_74,29.06,22.29,2.05,0.82,45.78
-111.672308_40.260179,centroid_75,29.04,21.98,2.53,0.81,45.64
-111.675307_40.307781,centroid_76,27.13,22.59,3.84,0.85,45.59
-111.675375_40.216548,centroid_77,30.28,22.27,1.78,0.74,44.93
-111.67667_40.301024,centroid_78,28.27,21.58,3.64,0.78,45.73
-111.677531_40.272456,centroid_79,28.38,22.3,2.76,0.76,45.81
-111.678764_40.248673,centroid_80,29.43,22.64,2.32,0.69,44.92
-111.679132_40.28629,centroid_81,28.33,22.75,3.22,0.79,44.92
-111.679405_40.239153,centroid_82,28.86,21.67,1.89,0.78,46.8
-111.680296_40.293406,centroid_83,28.5,22.03,3.63,0.81,45.03
-111.680631_41.034586,centroid_84,53.64,15.96,2.01,2.12,26.27
-111.680815_40.04626,centroid_85,33.16,23.64,0.44,0.7,42.06
-111.683992_40.330432,centroid_86,27.67,22.12,4.54,0.76,44.9
-111.688027_40.253105,centroid_87,29.87,21.49,2.43,0.75,45.46
-111.688126_40.26641,centroid_88,28.72,21.44,3.0,0.74,46.11
-111.690637_40.315477,centroid_89,29.15,21.69,4.32,0.79,44.05
-111.690945_40.341445,centroid_90,27.77,21.65,4.81,0.76,45.0
-111.691222_40.229559,centroid_91,30.39,21.56,1.93,0.77,45.35
-111.692342_40.305926,centroid_92,29.87,21.55,4.14,0.79,43.65
-111.692399_40.281249,centroid_93,30.23,21.39,3.64,0.76,43.98
-111.694003_40.137893,centroid_94,36.6,21.62,0.99,0.72,40.07
-111.696181_40.323257,centroid_95,28.64,21.69,4.32,0.73,44.62
-111.699522_40.29005,centroid_96,30.84,21.09,3.82,0.76,43.49
-111.700685_40.237922,centroid_97,31.5,21.19,2.2,0.77,44.35
-111.700895_40.330228,centroid_98,28.2,21.75,4.65,0.74,44.66
-111.703961_40.267811,centroid_99,31.34,20.52,3.24,0.77,44.14
-111.704086_40.278152,centroid_100,31.74,21.46,3.79,0.74,42.27
-111.705269_40.300141,centroid_101,30.38,21.78,4.43,0.8,42.61
-111.707002_40.356894,centroid_102,28.88,21.38,5.15,0.73,43.86
-111.707774_40.249038,centroid_103,33.57,20.49,3.02,0.74,42.17
-111.710463_40.344773,centroid_104,28.31,21.97,5.21,0.75,43.76
-111.712872_40.307984,centroid_105,31.07,21.56,4.78,0.8,41.79
-111.713951_40.325992,centroid_106,29.98,20.69,4.88,0.79,43.67
-111.715583_40.369104,centroid_107,30.67,21.38,5.61,0.76,41.58
-111.716827_40.286662,centroid_108,32.54,20.75,4.34,0.77,41.6
-111.716853_40.038209,centroid_109,31.47,23.56,0.74,0.68,43.56
-111.716874_40.293379,centroid_110,31.29,20.82,4.27,0.74,42.88
-111.718073_40.31855,centroid_111,30.28,21.16,4.69,0.74,43.13
-111.720009_40.301039,centroid_112,31.6,20.24,4.5,0.74,42.92
-111.721079_40.216928,centroid_113,37.57,20.36,2.35,0.8,38.92
-111.722361_40.273057,centroid_114,33.6,20.21,4.07,0.72,41.4
-111.725362_40.356218,centroid_115,29.72,20.97,5.35,0.77,43.2
-111.727036_40.048777,centroid_116,32.42,22.72,0.89,0.62,43.35
-111.728061_40.280467,centroid_117,34.34,20.18,4.31,0.73,40.45
-111.729658_40.367083,centroid_118,30.43,20.96,5.48,0.77,42.36
-111.730211_40.031261,centroid_119,31.79,23.8,1.13,0.63,42.65
-111.733955_40.340267,centroid_120,31.41,20.63,5.41,0.72,41.83
-111.737492_40.300907,centroid_121,32.87,19.77,5.0,0.73,41.63
-111.738181_41.040237,centroid_122,60.01,12.78,1.49,2.13,23.59
-111.740352_40.381469,centroid_123,32.89,20.35,5.93,0.74,40.08
-111.740466_40.017394,centroid_124,28.33,22.97,1.14,0.64,46.92
-111.743288_40.032656,centroid_125,29.79,23.69,1.28,0.69,44.55
-111.744123_40.285687,centroid_126,35.13,19.63,4.8,0.74,39.7
-111.744399_40.593159,centroid_127,39.11,36.17,6.51,0.41,17.8
-111.749055_41.125046,centroid_128,53.9,15.08,0.91,3.18,26.94
-111.75038_40.303888,centroid_129,33.99,19.36,5.15,0.71,40.78
-111.751071_40.360975,centroid_130,33.02,20.62,5.72,0.77,39.87
-111.751631_40.402618,centroid_131,33.86,19.32,6.25,0.74,39.83
-111.755119_40.37103,centroid_132,33.12,19.9,5.91,0.71,40.37
-111.758195_40.383894,centroid_133,34.91,19.42,6.23,0.7,38.74
-111.75884_40.421882,centroid_134,36.32,18.44,6.77,0.71,37.76
-111.760547_40.052672,centroid_135,31.62,21.29,1.26,0.65,45.18
-111.761646_40.399297,centroid_136,36.11,18.92,6.41,0.68,37.88
-111.76706_40.445054,centroid_137,37.9,17.76,6.86,0.73,36.75
-111.767634_40.363462,centroid_138,34.1,19.4,6.52,0.73,39.25
-111.770417_40.46392,centroid_139,38.81,17.31,7.18,0.67,36.03
-111.770737_40.73081,centroid_140,65.22,11.55,4.54,0.8,17.89
-111.773142_39.968359,centroid_141,28.6,21.91,0.84,0.65,47.99
-111.780287_41.669812,centroid_142,35.16,18.55,0.5,2.86,42.93
-111.7804_40.378335,centroid_143,35.1,19.39,6.97,0.71,37.83
-111.784488_40.390123,centroid_144,35.11,18.11,6.81,0.72,39.25
-111.786278_39.970777,centroid_145,28.77,21.56,0.59,0.67,48.41
-111.787217_39.984341,centroid_146,29.41,20.76,0.85,0.57,48.41
-111.789625_40.369928,centroid_147,35.17,19.04,6.86,0.69,38.23
-111.790522_40.421003,centroid_148,40.5,17.79,7.13,0.73,33.86
-111.79156_40.60039,centroid_149,58.18,13.13,7.93,0.64,20.12
-111.792477_40.674211,centroid_150,64.62,11.03,4.89,0.7,18.77
-111.793161_40.447365,centroid_151,42.65,16.47,7.13,0.68,33.08
-111.794628_41.782695,centroid_152,28.55,20.54,0.24,2.34,48.34
-111.79482_41.308173,centroid_153,53.79,14.95,0.42,2.85,27.99
-111.797104_41.75237,centroid_154,29.5,21.37,0.26,1.97,46.9
-111.801658_40.599156,centroid_155,59.76,12.36,7.06,0.63,20.19
-111.804059_40.615886,centroid_156,60.84,12.07,6.6,0.65,19.84
-111.807543_40.385992,centroid_157,36.65,17.98,7.27,0.69,37.41
-111.807684_40.395088,centroid_158,36.79,18.17,7.36,0.72,36.95
-111.809458_40.402597,centroid_159,36.98,18.08,7.27,0.76,36.9
-111.809883_41.746672,centroid_160,30.59,20.91,0.22,1.89,46.39
-111.809951_41.727347,centroid_161,32.43,20.66,0.23,1.85,44.83
-111.81092_40.693486,centroid_162,67.2,9.77,2.77,0.89,19.37
-111.811418_40.681534,centroid_163,66.88,9.57,2.76,0.92,19.85
-111.812698_40.705096,centroid_164,67.11,9.57,2.85,0.93,19.53
-111.812843_40.738205,centroid_165,67.86,9.73,2.81,0.81,18.79
-111.814136_40.668241,centroid_166,66.3,10.16,3.49,0.75,19.3
-111.815852_40.425107,centroid_167,42.72,16.51,7.32,0.68,32.77
-111.815956_41.688693,centroid_168,32.63,20.54,0.27,2.02,44.53
-111.817619_40.414016,centroid_169,40.63,17.61,7.67,0.69,33.4
-111.818116_41.792341,centroid_170,28.31,22.32,0.28,2.05,47.04
-111.818358_40.725601,centroid_171,68.05,9.44,2.43,0.85,19.23
-111.818717_40.457745,centroid_172,49.32,14.26,7.38,0.6,28.44
-111.818751_41.747656,centroid_173,30.69,21.56,0.24,2.02,45.5
-111.818861_40.583571,centroid_174,60.04,12.33,5.79,0.68,21.16
-111.819036_40.550046,centroid_175,55.26,13.54,7.16,0.72,23.32
-111.81914_40.389094,centroid_176,37.7,17.51,7.58,0.66,36.55
-111.819413_40.628684,centroid_177,63.28,11.33,5.16,0.72,19.51
-111.819544_41.833667,centroid_178,26.89,21.91,0.21,1.85,49.14
-111.820542_41.753457,centroid_179,30.96,21.18,0.26,1.97,45.64
-111.820548_41.709977,centroid_180,32.64,20.04,0.25,1.82,45.25
-111.821178_40.598865,centroid_181,61.61,12.0,5.26,0.76,20.37
-111.821453_41.940066,centroid_182,23.88,22.7,0.15,1.88,51.4
-111.822335_41.768353,centroid_183,29.01,21.04,0.2,1.83,47.93
-111.822358_40.647882,centroid_184,64.98,10.8,4.14,0.76,19.32
-111.822423_40.608806,centroid_185,61.95,11.67,4.92,0.8,20.67
-111.822675_41.731046,centroid_186,31.24,20.73,0.26,1.95,45.82
-111.822761_40.72054,centroid_187,68.63,9.57,2.32,0.85,18.63
-111.82303_40.590995,centroid_188,61.32,11.41,5.11,0.75,21.42
-111.824953_41.739378,centroid_189,31.51,21.63,0.22,1.92,44.72
-111.824977_40.368113,centroid_190,39.42,17.34,7.41,0.65,35.17
-111.825164_40.574221,centroid_191,60.39,12.05,5.25,0.71,21.6
-111.825315_40.618717,centroid_192,62.91,11.22,4.48,0.75,20.64
-111.827578_40.565723,centroid_193,59.05,12.05,5.48,0.7,22.72
-111.83104_41.630386,centroid_194,34.24,21.06,0.23,2.13,42.35
-111.831768_40.76318,centroid_195,69.44,9.59,2.76,0.7,17.51
-111.831813_40.693661,centroid_196,67.66,9.2,2.17,0.78,20.19
-111.832737_40.737207,centroid_197,68.71,9.35,2.26,0.8,18.88
-111.833836_40.729518,centroid_198,69.04,9.22,2.17,0.77,18.81
-111.834129_40.680721,centroid_199,68.1,9.36,2.24,0.8,19.5
-111.834551_40.405548,centroid_200,40.01,17.42,8.06,0.69,33.83
-111.834821_41.571693,centroid_201,35.31,21.12,0.4,2.48,40.7
-111.834867_40.534818,centroid_202,54.92,13.21,7.22,0.66,23.99
-111.835416_40.668251,centroid_203,66.69,9.38,2.29,0.77,20.87
-111.836125_40.745913,centroid_204,69.09,9.41,2.54,0.68,18.28
-111.83622_40.705081,centroid_205,68.41,8.94,2.03,0.75,19.87
-111.836308_40.752159,centroid_206,68.98,9.38,2.52,0.73,18.39
-111.840653_40.425278,centroid_207,45.99,15.26,7.96,0.62,30.16
-111.841414_40.598136,centroid_208,62.25,10.81,3.56,0.78,22.6
-111.84258_41.724841,centroid_209,32.03,20.63,0.21,1.86,45.26
-111.842757_41.742672,centroid_210,29.67,21.13,0.19,1.8,47.2
-111.842942_41.839116,centroid_211,27.34,21.7,0.18,1.81,48.97
-111.843074_40.502221,centroid_212,52.1,14.91,8.82,0.58,23.59
-111.843206_41.758231,centroid_213,29.58,20.99,0.16,1.87,47.4
-111.84356_40.547135,centroid_214,59.53,11.49,4.84,0.78,23.36
-111.8435_40.66169,centroid_215,67.5,9.46,2.2,0.77,20.07
-111.844289_40.587869,centroid_216,62.42,11.13,3.84,0.78,21.83
-111.844394_40.620095,centroid_217,65.07,10.26,3.23,0.75,20.7
-111.844503_40.64516,centroid_218,65.65,9.76,2.63,0.83,21.14
-111.844773_40.571257,centroid_219,61.12,11.26,4.29,0.76,22.57
-111.845813_40.635795,centroid_220,65.7,9.98,2.85,0.81,20.66
-111.846344_39.973192,centroid_221,24.54,21.1,1.55,0.66,52.15
-111.847221_40.715345,centroid_222,68.95,8.96,1.86,0.8,19.42
-111.847278_40.874379,centroid_223,72.95,8.36,1.48,1.12,16.09
-111.847386_40.628148,centroid_224,64.95,10.15,2.87,0.78,21.25
-111.847776_40.729553,centroid_225,69.71,9.02,1.98,0.78,18.51
-111.847802_40.608397,centroid_226,63.65,10.4,3.26,0.76,21.94
-111.847845_40.746043,centroid_227,69.2,9.01,1.96,0.77,19.06
-111.848384_40.73777,centroid_228,68.97,8.97,1.9,0.74,19.43
-111.848461_40.692693,centroid_229,68.72,9.1,1.92,0.78,19.48
-111.848521_40.654587,centroid_230,66.71,9.65,2.48,0.75,20.4
-111.849339_40.679694,centroid_231,67.49,9.17,1.99,0.79,20.56
-111.850591_40.407356,centroid_232,43.34,16.37,8.39,0.68,31.22
-111.851178_40.385298,centroid_233,42.5,16.27,8.09,0.67,32.48
-111.852251_40.722852,centroid_234,69.47,9.0,1.77,0.78,18.98
-111.852338_41.678225,centroid_235,34.04,20.3,0.19,1.94,43.53
-111.852681_40.709441,centroid_236,69.02,8.83,1.82,0.78,19.55
-111.852811_41.296207,centroid_237,54.66,13.72,0.37,2.65,28.6
-111.854272_41.721677,centroid_238,31.44,20.28,0.22,1.82,46.24
-111.857382_40.764701,centroid_239,70.1,8.92,1.88,0.82,18.27
-111.857441_40.756731,centroid_240,70.04,8.85,1.84,0.8,18.46
-111.857552_40.781281,centroid_241,70.85,9.1,1.9,0.86,17.29
-111.858454_40.399603,centroid_242,43.71,15.99,8.29,0.64,31.37
-111.858486_40.371842,centroid_243,45.04,14.82,8.02,0.64,31.47
-111.858701_40.423438,centroid_244,48.66,14.6,8.77,0.62,27.34
-111.859304_40.657416,centroid_245,66.72,9.22,2.13,0.8,21.13
-111.859405_40.641452,centroid_246,65.78,9.76,2.57,0.78,21.11
-111.861182_40.536773,centroid_247,59.39,11.32,4.56,0.83,23.9
-111.861626_40.572519,centroid_248,62.99,10.66,3.47,0.83,22.04
-111.861722_40.729313,centroid_249,69.83,8.73,1.73,0.78,18.93
-111.86177_40.877164,centroid_250,73.8,8.38,1.32,1.33,15.18
-111.86226_40.737444,centroid_251,70.5,8.73,1.64,0.79,18.34
-111.862514_40.669789,centroid_252,67.99,9.18,1.85,0.84,20.14
-111.862619_40.602573,centroid_253,64.39,10.18,3.07,0.85,21.51
-111.862851_40.865278,centroid_254,73.36,8.16,1.19,1.29,15.99
-111.862856_40.745607,centroid_255,70.76,8.6,1.66,0.82,18.16
-111.86297_40.551209,centroid_256,61.13,11.12,4.01,0.82,22.92
-111.863208_40.77244,centroid_257,70.28,8.96,2.0,0.83,17.93
-111.863557_40.681382,centroid_258,68.45,8.8,1.87,0.85,20.02
-111.863717_40.692769,centroid_259,68.71,8.8,1.75,0.77,19.97
-111.863983_40.894304,centroid_260,71.29,9.05,1.31,1.49,16.86
-111.864303_40.704178,centroid_261,68.74,8.75,1.68,0.8,20.03
-111.864406_40.588712,centroid_262,63.72,10.5,3.3,0.81,21.67
-111.864857_40.615566,centroid_263,64.27,10.27,2.87,0.86,21.74
-111.865394_40.492158,centroid_264,53.19,13.49,8.98,0.54,23.81
-111.865449_40.625868,centroid_265,64.88,9.88,2.75,0.89,21.6
-111.866206_41.635103,centroid_266,33.98,19.82,0.14,1.99,44.07
-111.866862_40.755854,centroid_267,70.97,8.59,1.75,0.76,17.93
-111.866996_40.765141,centroid_268,70.46,8.63,1.7,0.79,18.41
-111.868916_40.915806,centroid_269,70.53,9.45,1.26,1.62,17.14
-111.870361_40.504081,centroid_270,54.32,13.49,8.2,0.72,23.26
-111.871449_40.717463,centroid_271,69.85,8.63,1.56,0.74,19.22
-111.872719_40.562795,centroid_272,61.22,10.78,3.38,0.88,23.75
-111.873091_40.426072,centroid_273,49.56,14.17,9.0,0.66,26.62
-111.873714_40.779573,centroid_274,72.04,8.38,1.6,0.87,17.1
-111.874022_40.655416,centroid_275,68.05,9.43,1.86,0.9,19.75
-111.874406_40.676796,centroid_276,68.26,8.85,1.76,0.83,20.31
-111.875063_40.37769,centroid_277,49.22,13.89,8.24,0.61,28.04
-111.875311_40.772914,centroid_278,72.28,8.08,1.56,0.84,17.23
-111.875367_40.636096,centroid_279,65.33,9.85,2.39,0.77,21.66
-111.875672_40.513778,centroid_280,57.7,12.06,6.49,0.74,23.0
-111.875781_40.754422,centroid_281,70.6,8.55,1.49,0.79,18.56
-111.875818_40.764404,centroid_282,72.33,8.09,1.58,0.82,17.17
-111.876157_41.714552,centroid_283,31.52,20.02,0.15,1.75,46.57
-111.877445_40.669124,centroid_284,68.38,8.98,1.79,0.88,19.97
-111.877468_40.70068,centroid_285,69.36,8.66,1.62,0.79,19.57
-111.879471_40.73788,centroid_286,70.94,8.39,1.7,0.77,18.2
-111.87952_40.575392,centroid_287,62.16,10.61,3.14,0.86,23.23
-111.879796_40.729599,centroid_288,71.41,8.37,1.52,0.74,17.96
-111.880198_40.625922,centroid_289,65.9,9.96,2.59,0.8,20.76
-111.880264_40.947095,centroid_290,66.03,10.2,0.99,2.07,20.7
-111.880271_40.536113,centroid_291,59.71,11.17,4.22,0.9,24.01
-111.880354_40.649455,centroid_292,65.89,9.35,2.03,0.88,21.85
-111.880422_40.58988,centroid_293,63.53,10.3,3.02,0.91,22.25
-111.880898_40.614977,centroid_294,64.4,9.8,2.85,0.91,22.04
-111.881104_40.917952,centroid_295,68.85,9.64,1.11,1.6,18.79
-111.881334_40.682113,centroid_296,69.46,8.77,1.8,0.79,19.19
-111.881354_40.549923,centroid_297,60.62,10.86,3.48,0.89,24.15
-111.881768_40.480941,centroid_298,53.82,13.32,9.15,0.63,23.08
-111.881785_40.444442,centroid_299,53.01,13.51,9.28,0.62,23.58
-111.88196_40.764527,centroid_300,70.56,8.23,1.39,0.82,19.0
-111.882175_40.745419,centroid_301,70.95,8.26,1.49,0.76,18.53
-111.882194_40.395414,centroid_302,50.03,13.96,8.56,0.65,26.81
-111.882269_40.694385,centroid_303,69.35,8.64,1.69,0.78,19.53
-111.882317_40.900031,centroid_304,70.25,9.07,1.13,1.29,18.26
-111.88253_40.715604,centroid_305,69.2,8.59,1.61,0.82,19.78
-111.882661_40.889559,centroid_306,71.75,8.57,1.05,1.16,17.47
-111.882759_40.754432,centroid_307,71.0,8.33,1.42,0.79,18.45
-111.882872_40.847279,centroid_308,74.74,7.82,1.11,1.17,15.15
-111.883523_40.60328,centroid_309,63.89,10.31,2.8,0.87,22.12
-111.883623_40.293274,centroid_310,50.15,13.34,7.37,0.64,28.5
-111.883824_40.876949,centroid_311,74.11,7.82,1.0,1.11,15.96
-111.883872_40.77208,centroid_312,72.22,8.04,1.47,0.78,17.49
-111.884464_40.976161,centroid_313,67.49,9.41,0.69,2.31,20.11
-111.884545_40.862897,centroid_314,75.15,7.45,1.0,1.1,15.28
-111.885089_40.792854,centroid_315,74.57,7.69,1.37,0.86,15.51
