centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-111.076544_40.789839,centroid_1,28.28,37.64,3.15,0.53,30.39
-111.276811_40.62636,centroid_2,24.53,33.98,3.83,0.64,37.01
-111.282991_40.698113,centroid_3,29.46,29.94,3.8,0.68,36.12
-111.285765_41.776494,centroid_4,34.98,25.51,2.11,4.02,33.38
-111.364916_40.598384,centroid_5,24.82,31.85,4.87,0.69,37.77
-111.366196_40.490448,centroid_6,21.37,29.87,2.49,0.72,45.55
-111.380301_40.881808,centroid_7,31.52,26.52,9.12,0.7,32.13
-111.399741_40.517545,centroid_8,21.68,30.62,3.65,0.69,43.36
-111.402199_40.499864,centroid_9,21.91,27.83,3.17,0.72,46.36
-111.408202_40.477897,centroid_10,21.02,28.0,2.58,0.79,47.61
-111.420382_40.504007,centroid_11,21.24,28.53,3.59,0.78,45.86
-111.420779_40.48159,centroid_12,21.37,28.23,2.87,0.79,46.74
-111.434906_40.409967,centroid_13,20.32,29.55,1.82,0.64,47.67
-111.440744_40.757146,centroid_14,41.64,20.93,6.29,0.69,30.44
-111.442008_40.974532,centroid_15,46.81,20.89,9.99,0.65,21.66
-111.463355_40.506679,centroid_16,21.77,29.28,3.68,0.71,44.57
-111.47918_40.522269,centroid_17,23.47,28.89,4.23,0.77,42.63
-111.491737_40.657076,centroid_18,38.47,23.04,6.15,0.69,31.65
-111.505176_40.677097,centroid_19,41.13,21.1,6.86,0.62,30.3
-111.510946_40.65549,centroid_20,37.75,23.73,6.26,0.7,31.56
-111.510973_40.749146,centroid_21,49.48,17.4,7.17,0.65,25.31
-111.521423_40.710945,centroid_22,44.98,20.47,7.2,0.66,26.69
-111.523984_40.160043,centroid_23,25.46,28.0,1.18,0.85,44.51
-111.555312_40.702311,centroid_24,42.14,22.43,7.24,0.66,27.54
-111.57445_40.155571,centroid_25,29.23,24.77,0.64,0.82,44.55
-111.578766_40.760625,centroid_26,49.58,20.13,7.19,0.61,22.49
-111.579662_40.141332,centroid_27,27.72,24.55,0.52,0.8,46.41
-111.58085_40.12006,centroid_28,25.67,25.89,0.6,0.83,47.01
-111.586724_40.743115,centroid_29,46.8,22.43,7.34,0.61,22.83
-111.589586_40.153301,centroid_30,28.18,24.18,0.6,0.75,46.29
-111.594259_40.169936,centroid_31,28.95,23.82,0.88,0.79,45.56
-111.600062_40.162271,centroid_32,27.91,24.38,0.77,0.75,46.19
-111.602842_40.150459,centroid_33,27.8,24.52,0.65,0.74,46.29
-111.604913_40.177464,centroid_34,28.0,23.99,0.8,0.79,46.42
-111.608735_40.089857,centroid_35,29.23,24.71,0.37,0.77,44.92
-111.61045_40.126741,centroid_36,29.02,24.11,0.44,0.68,45.75
-111.614768_40.171519,centroid_37,27.78,23.97,0.76,0.78,46.71
-111.618345_40.106963,centroid_38,28.72,24.89,0.42,0.76,45.21
-111.623879_40.092185,centroid_39,28.94,24.29,0.37,0.82,45.57
-111.628876_40.159185,centroid_40,27.48,23.73,0.76,0.71,47.32
-111.62903_40.214505,centroid_41,27.67,24.79,1.12,0.8,45.62
-111.629498_40.123103,centroid_42,29.02,24.54,0.59,0.72,45.13
-111.632447_40.106182,centroid_43,29.85,24.63,0.52,0.75,44.25
-111.634914_40.233733,centroid_44,26.62,24.38,1.54,0.79,46.67
-111.635536_40.253363,centroid_45,25.45,25.13,2.59,0.81,46.03
-111.636945_40.2272,centroid_46,27.38,23.69,1.39,0.82,46.71
-111.638428_40.240275,centroid_47,25.61,23.54,1.98,0.79,48.07
-111.638558_40.096336,centroid_48,31.09,23.64,0.37,0.73,44.17
-111.640686_40.258373,centroid_49,25.35,23.83,2.7,0.87,47.25
-111.64194_40.218808,centroid_50,27.54,23.52,1.19,0.79,46.96
-111.646087_40.11793,centroid_51,30.56,22.84,0.75,0.73,45.13
-111.646814_40.276497,centroid_52,24.82,23.66,2.71,0.79,48.02
-111.64752_40.29044,centroid_53,24.49,24.55,3.02,0.82,47.12
-111.64757_40.110315,centroid_54,31.75,23.0,0.66,0.68,43.91
-111.64853_40.2644,centroid_55,25.46,23.46,2.62,0.79,47.67
-111.648661_40.251416,centroid_56,25.86,24.48,2.66,0.79,46.2
-111.649372_40.230038,centroid_57,27.46,23.06,1.6,0.72,47.16
-111.650703_40.240069,centroid_58,27.09,23.44,2.38,0.76,46.34
-111.650786_40.236052,centroid_59,27.08,22.28,1.82,0.77,48.06
-111.650822_40.243418,centroid_60,26.22,23.42,2.5,0.84,47.03
-111.65995_40.25576,centroid_61,26.38,23.09,2.5,0.79,47.24
-111.660551_40.232836,centroid_62,27.71,23.27,2.13,0.75,46.14
-111.66172_40.114122,centroid_63,32.7,23.12,0.88,0.69,42.61
-111.662169_40.242473,centroid_64,27.69,23.13,2.27,0.77,46.15
-111.662305_40.280341,centroid_65,24.95,22.66,2.76,0.79,48.85
-111.662739_40.083359,centroid_66,33.05,23.32,0.39,0.75,42.49
-111.66314_40.048822,centroid_67,32.97,22.82,0.43,0.65,43.13
-111.666038_40.25546,centroid_68,27.23,22.77,2.3,0.78,46.92
-111.667578_40.222519,centroid_69,28.0,23.34,1.89,0.71,46.07
-111.667748_40.104488,centroid_70,33.01,23.39,0.86,0.72,42.02
-111.66852_40.0218,centroid_71,30.65,25.84,0.54,0.63,42.35
-111.669581_40.31791,centroid_72,24.92,23.29,4.06,0.78,46.95
-111.670525_40.229905,centroid_73,27.53,22.81,2.12,0.76,46.78
-111.670583_40.241261,centroid_74,27.46,22.79,2.1,0.84,46.81
-111.672308_40.260179,centroid_75,27.43,22.48,2.58,0.83,46.67
-111.675307_40.307781,centroid_76,25.51,23.09,3.93,0.87,46.6
-111.675375_40.216548,centroid_77,28.76,22.76,1.82,0.75,45.91
-111.67667_40.301024,centroid_78,26.59,22.09,3.72,0.8,46.81
-111.677531_40.272456,centroid_79,26.78,22.79,2.82,0.78,46.83
-111.678764_40.248673,centroid_80,27.82,23.16,2.38,0.7,45.94
-111.679132_40.28629,centroid_81,26.69,23.27,3.29,0.8,45.94
-111.679405_40.239153,centroid_82,27.28,22.15,1.93,0.8,47.83
-111.680296_40.293406,centroid_83,26.84,22.55,3.71,0.82,46.08
-111.680631_41.034586,centroid_84,52.71,16.28,2.05,2.16,26.8
-111.680815_40.04626,centroid_85,31.52,24.22,0.45,0.71,43.09
-111.683992_40.330432,centroid_86,25.92,22.66,4.65,0.78,45.99
-111.688027_40.253105,centroid_87,28.23,21.99,2.48,0.77,46.52
-111.688126_40.26641,centroid_88,27.03,21.95,3.07,0.75,47.2
-111.690637_40.315477,centroid_89,27.45,22.21,4.43,0.81,45.11
-111.690945_40.341445,centroid_90,26.01,22.18,4.93,0.78,46.1
-111.691222_40.229559,centroid_91,28.86,22.03,1.97,0.79,46.35
-111.692342_40.305926,centroid_92,28.19,22.06,4.24,0.81,44.69
-111.692399_40.281249,centroid_93,28.54,21.91,3.73,0.78,45.04
-111.694003_40.137893,centroid_94,34.99,22.17,1.02,0.74,41.08
-111.696181_40.323257,centroid_95,26.97,22.2,4.42,0.75,45.67
-111.699522_40.29005,centroid_96,29.2,21.59,3.91,0.78,44.52
-111.700685_40.237922,centroid_97,29.91,21.68,2.25,0.78,45.38
-111.700895_40.330228,centroid_98,26.46,22.28,4.76,0.75,45.74
-111.703961_40.267811,centroid_99,29.68,21.01,3.32,0.78,45.21
-111.704086_40.278152,centroid_100,30.0,22.01,3.88,0.76,43.35
-111.705269_40.300141,centroid_101,28.66,22.32,4.54,0.82,43.66
-111.707002_40.356894,centroid_102,27.12,21.9,5.28,0.75,44.94
-111.707774_40.249038,centroid_103,31.88,21.02,3.1,0.76,43.25
-111.710463_40.344773,centroid_104,26.58,22.5,5.33,0.77,44.82
-111.712872_40.307984,centroid_105,29.37,22.09,4.9,0.82,42.82
-111.713951_40.325992,centroid_106,28.31,21.18,4.99,0.81,44.71
-111.715583_40.369104,centroid_107,28.93,21.92,5.75,0.78,42.62
-111.716827_40.286662,centroid_108,30.87,21.26,4.45,0.79,42.62
-111.716853_40.038209,centroid_109,29.85,24.12,0.76,0.69,44.58
-111.716874_40.293379,centroid_110,29.67,21.31,4.38,0.76,43.88
-111.718073_40.31855,centroid_111,28.61,21.67,4.8,0.75,44.16
-111.720009_40.301039,centroid_112,30.0,20.72,4.6,0.76,43.92
-111.721079_40.216928,centroid_113,36.02,20.87,2.4,0.82,39.88
-111.722361_40.273057,centroid_114,31.97,20.71,4.17,0.74,42.42
-111.725362_40.356218,centroid_115,28.08,21.46,5.47,0.78,44.21
-111.727036_40.048777,centroid_116,30.81,23.26,0.91,0.63,44.38
-111.728061_40.280467,centroid_117,32.67,20.69,4.42,0.74,41.48
-111.729658_40.367083,centroid_118,28.69,21.48,5.61,0.79,43.42
-111.730211_40.031261,centroid_119,30.15,24.37,1.16,0.64,43.68
-111.733955_40.340267,centroid_120,29.74,21.13,5.55,0.73,42.85
-111.737492_40.300907,centroid_121,31.24,20.25,5.12,0.75,42.64
-111.738181_41.040237,centroid_122,59.1,13.06,1.53,2.18,24.13
-111.740352_40.381469,centroid_123,31.19,20.87,6.09,0.76,41.1
-111.740466_40.017394,centroid_124,26.68,23.5,1.17,0.65,48.0
-111.743288_40.032656,centroid_125,28.14,24.25,1.31,0.71,45.6
-111.744123_40.285687,centroid_126,33.43,20.15,4.92,0.76,40.74
-111.744399_40.593159,centroid_127,37.61,37.06,6.67,0.42,18.24
-111.749055_41.125046,centroid_128,52.85,15.42,0.93,3.25,27.55
-111.75038_40.303888,centroid_129,32.36,19.84,5.28,0.73,41.79
-111.751071_40.360975,centroid_130,31.39,21.12,5.86,0.79,40.84
-111.751631_40.402618,centroid_131,32.23,19.8,6.4,0.76,40.81
-111.755119_40.37103,centroid_132,31.54,20.37,6.04,0.73,41.32
-111.758195_40.383894,centroid_133,33.3,19.9,6.38,0.72,39.69
-111.75884_40.421882,centroid_134,34.79,18.89,6.93,0.72,38.67
-111.760547_40.052672,centroid_135,29.99,21.79,1.29,0.66,46.26
-111.761646_40.399297,centroid_136,34.56,19.38,6.57,0.7,38.79
-111.76706_40.445054,centroid_137,36.34,18.2,7.04,0.74,37.68
-111.767634_40.363462,centroid_138,32.44,19.89,6.69,0.75,40.24
-111.770417_40.46392,centroid_139,37.3,17.73,7.36,0.69,36.92
