centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-111.076544_40.789839,centroid_1,18.76,42.65,3.57,0.6,34.42
-111.276811_40.62636,centroid_2,15.0,38.28,4.32,0.72,41.69
-111.282991_40.698113,centroid_3,18.42,34.62,4.4,0.78,41.77
-111.285765_41.776494,centroid_4,22.01,30.6,2.54,4.82,40.03
-111.364916_40.598384,centroid_5,15.53,35.79,5.47,0.78,42.43
-111.366196_40.490448,centroid_6,13.97,32.68,2.72,0.79,49.83
-111.380301_40.881808,centroid_7,20.5,30.79,10.59,0.82,37.3
-111.399741_40.517545,centroid_8,14.2,33.55,3.99,0.75,47.5
-111.402199_40.499864,centroid_9,14.33,30.54,3.48,0.79,50.87
-111.408202_40.477897,centroid_10,13.95,30.51,2.81,0.86,51.87
-111.420382_40.504007,centroid_11,13.84,31.22,3.92,0.85,50.17
-111.420779_40.48159,centroid_12,13.99,30.88,3.14,0.86,51.13
-111.434906_40.409967,centroid_13,13.48,32.08,1.98,0.69,51.77
-111.440744_40.757146,centroid_14,28.52,25.64,7.7,0.85,37.29
-111.442008_40.974532,centroid_15,35.27,25.42,12.16,0.8,26.36
-111.463355_40.506679,centroid_16,13.61,32.33,4.06,0.78,49.22
-111.47918_40.522269,centroid_17,14.61,32.24,4.73,0.86,47.56
-111.491737_40.657076,centroid_18,24.77,28.16,7.52,0.84,38.7
-111.505176_40.677097,centroid_19,26.95,26.18,8.51,0.76,37.6
-111.510946_40.65549,centroid_20,24.49,28.78,7.6,0.85,38.28
-111.510973_40.749146,centroid_21,35.11,22.34,9.21,0.83,32.51
-111.521423_40.710945,centroid_22,30.34,25.91,9.12,0.84,33.79
-111.523984_40.160043,centroid_23,16.42,31.4,1.32,0.96,49.91
-111.555312_40.702311,centroid_24,27.97,27.92,9.01,0.82,34.28
-111.57445_40.155571,centroid_25,18.71,28.45,0.73,0.94,51.17
-111.578766_40.760625,centroid_26,35.79,25.64,9.16,0.77,28.65
-111.579662_40.141332,centroid_27,17.89,27.89,0.59,0.91,52.72
-111.58085_40.12006,centroid_28,16.55,29.07,0.68,0.93,52.78
-111.586724_40.743115,centroid_29,32.15,28.6,9.36,0.78,29.11
-111.589586_40.153301,centroid_30,18.25,27.53,0.69,0.85,52.68
-111.594259_40.169936,centroid_31,18.57,27.3,1.01,0.91,52.21
-111.600062_40.162271,centroid_32,17.91,27.76,0.87,0.86,52.6
-111.602842_40.150459,centroid_33,17.86,27.9,0.74,0.84,52.66
-111.604913_40.177464,centroid_34,17.77,27.4,0.91,0.9,53.02
-111.608735_40.089857,centroid_35,19.42,28.13,0.42,0.88,51.15
-111.61045_40.126741,centroid_36,18.69,27.62,0.51,0.78,52.4
-111.614768_40.171519,centroid_37,18.03,27.21,0.86,0.88,53.02
-111.618345_40.106963,centroid_38,18.73,28.39,0.48,0.86,51.54
-111.623879_40.092185,centroid_39,18.81,27.76,0.42,0.94,52.07
-111.628876_40.159185,centroid_40,17.89,26.86,0.86,0.8,53.58
-111.62903_40.214505,centroid_41,17.71,28.21,1.28,0.91,51.91
-111.629498_40.123103,centroid_42,18.64,28.13,0.67,0.83,51.73
-111.632447_40.106182,centroid_43,19.27,28.34,0.6,0.87,50.93
-111.634914_40.233733,centroid_44,16.69,27.67,1.75,0.9,52.98
-111.635536_40.253363,centroid_45,16.16,28.26,2.91,0.91,51.76
-111.636945_40.2272,centroid_46,17.41,26.94,1.58,0.94,53.13
-111.638428_40.240275,centroid_47,16.34,26.48,2.23,0.89,54.07
-111.638558_40.096336,centroid_48,20.19,27.38,0.43,0.85,51.16
-111.640686_40.258373,centroid_49,16.07,26.79,3.03,0.98,53.12
-111.64194_40.218808,centroid_50,17.85,26.66,1.35,0.9,53.24
-111.646087_40.11793,centroid_51,19.8,26.38,0.86,0.84,52.12
-111.646814_40.276497,centroid_52,15.85,26.49,3.03,0.88,53.75
-111.64752_40.29044,centroid_53,15.59,27.44,3.37,0.92,52.67
-111.64757_40.110315,centroid_54,20.81,26.69,0.77,0.79,50.94
-111.64853_40.2644,centroid_55,15.98,26.44,2.96,0.89,53.73
-111.648661_40.251416,centroid_56,16.48,27.58,3.0,0.89,52.05
-111.649372_40.230038,centroid_57,17.76,26.14,1.81,0.82,53.47
-111.650703_40.240069,centroid_58,17.54,26.51,2.69,0.85,52.4
-111.650786_40.236052,centroid_59,17.55,25.19,2.06,0.87,54.34
-111.650822_40.243418,centroid_60,16.9,26.37,2.82,0.94,52.96
-111.65995_40.25576,centroid_61,17.19,25.97,2.81,0.89,53.14
-111.660551_40.232836,centroid_62,18.04,26.38,2.42,0.86,52.31
-111.66172_40.114122,centroid_63,21.55,26.95,1.02,0.81,49.67
-111.662169_40.242473,centroid_64,18.11,26.19,2.57,0.87,52.26
-111.662305_40.280341,centroid_65,15.95,25.37,3.09,0.88,54.71
-111.662739_40.083359,centroid_66,21.96,27.18,0.45,0.88,49.53
-111.66314_40.048822,centroid_67,22.14,26.5,0.49,0.76,50.1
-111.666038_40.25546,centroid_68,17.83,25.71,2.6,0.88,52.99
-111.667578_40.222519,centroid_69,18.3,26.48,2.14,0.81,52.27
-111.667748_40.104488,centroid_70,21.82,27.3,1.0,0.84,49.04
-111.66852_40.0218,centroid_71,19.89,29.85,0.62,0.73,48.92
-111.669581_40.31791,centroid_72,15.84,26.11,4.55,0.87,52.63
-111.670525_40.229905,centroid_73,18.04,25.8,2.4,0.86,52.91
-111.670583_40.241261,centroid_74,18.04,25.75,2.37,0.94,52.89
-111.672308_40.260179,centroid_75,17.79,25.46,2.93,0.94,52.88
-111.675307_40.307781,centroid_76,16.34,25.94,4.41,0.98,52.34
-111.675375_40.216548,centroid_77,19.03,25.87,2.07,0.86,52.18
-111.67667_40.301024,centroid_78,17.04,24.96,4.21,0.9,52.89
-111.677531_40.272456,centroid_79,17.46,25.69,3.18,0.88,52.79
-111.678764_40.248673,centroid_80,18.22,26.24,2.69,0.8,52.06
