centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-111.882759_40.754432,centroid_307,64.17,10.3,1.76,0.98,22.8
-111.882872_40.847279,centroid_308,68.12,9.87,1.4,1.48,19.13
-111.883523_40.60328,centroid_309,55.53,12.7,3.45,1.07,27.25
-111.883623_40.293274,centroid_310,42.85,15.29,8.45,0.73,32.68
-111.883824_40.876949,centroid_311,66.53,10.11,1.3,1.43,20.64
-111.883872_40.77208,centroid_312,65.48,9.99,1.83,0.97,21.73
-111.884464_40.976161,centroid_313,58.77,11.93,0.88,2.92,25.5
-111.884545_40.862897,centroid_314,68.18,9.55,1.29,1.41,19.58
-111.885089_40.792854,centroid_315,68.1,9.65,1.71,1.08,19.45
-111.886449_40.511462,centroid_316,49.45,14.47,7.91,0.86,27.32
-111.891352_40.929521,centroid_317,56.96,12.54,1.07,2.1,27.33
-111.892787_40.773742,centroid_318,66.03,10.03,1.69,0.99,21.26
-111.893005_40.414866,centroid_319,42.22,16.18,11.3,0.68,29.63
-111.893719_40.689976,centroid_320,60.88,11.31,2.23,1.02,24.57
-111.894162_40.67293,centroid_321,59.65,11.6,2.09,1.06,25.6
-111.894345_40.63967,centroid_322,57.9,12.0,2.39,1.16,26.55
-111.894446_40.759154,centroid_323,65.48,9.92,1.77,0.94,21.89
-111.894572_40.738365,centroid_324,64.27,10.33,1.85,0.93,22.63
-111.895844_40.780716,centroid_325,67.51,9.84,1.56,0.94,20.14
-111.895943_40.618485,centroid_326,56.39,12.36,3.06,1.05,27.15
-111.896706_40.598219,centroid_327,55.44,12.3,3.41,1.11,27.75
-111.897019_40.835373,centroid_328,70.01,8.96,1.13,1.23,18.68
-111.898457_40.431784,centroid_329,43.74,15.9,11.19,0.78,28.39
-111.898477_41.004626,centroid_330,54.99,13.08,0.59,3.09,28.25
-111.898566_40.848982,centroid_331,70.0,8.57,1.04,1.06,19.33
-111.898917_40.712146,centroid_332,62.3,10.64,1.96,0.99,24.1
-111.900611_40.763008,centroid_333,66.44,10.0,1.65,0.93,20.97
-111.901059_40.577081,centroid_334,54.67,12.99,3.5,1.17,27.67
-111.901096_40.381123,centroid_335,42.54,15.66,10.49,0.66,30.65
-111.90145_40.313771,centroid_336,43.61,14.64,9.01,0.74,32.01
-111.903059_40.494693,centroid_337,48.34,14.67,7.94,0.81,28.25
-111.903409_40.874213,centroid_338,67.82,9.28,1.06,1.16,20.68
-111.90514_41.046788,centroid_339,54.32,13.6,0.55,3.24,28.29
-111.905287_40.777647,centroid_340,67.21,9.34,1.5,0.97,20.98
-111.905345_40.512322,centroid_341,49.32,13.85,6.89,0.94,28.99
-111.90667_40.768582,centroid_342,67.18,9.4,1.6,0.88,20.93
-111.908197_40.548717,centroid_343,51.95,13.17,3.53,1.22,30.14
-111.909774_40.60506,centroid_344,56.12,12.67,3.19,1.06,26.95
-111.91017_40.344548,centroid_345,41.1,15.31,10.24,0.76,32.6
-111.910584_40.640952,centroid_346,58.55,12.01,2.31,1.24,25.9
-111.911927_40.404989,centroid_347,42.17,15.95,11.14,0.69,30.04
-111.912153_40.657018,centroid_348,58.6,11.72,2.35,1.2,26.13
-111.913802_40.69076,centroid_349,60.87,11.28,2.07,0.96,24.83
-111.91454_40.617895,centroid_350,56.3,12.41,2.89,1.08,27.32
-111.917798_40.669424,centroid_351,60.26,11.33,2.08,1.11,25.22
-111.917933_40.759681,centroid_352,65.86,9.48,1.56,0.94,22.16
-111.918759_40.997252,centroid_353,51.42,13.42,0.46,2.89,31.81
-111.919045_40.377528,centroid_354,41.95,15.59,10.71,0.63,31.13
-111.919316_40.979235,centroid_355,54.3,12.08,0.45,2.34,30.83
-111.919332_40.871186,centroid_356,70.05,8.54,0.8,1.09,19.53
-111.919482_41.118309,centroid_357,55.46,12.31,0.43,2.12,29.69
-111.921111_40.678954,centroid_358,59.85,11.35,2.14,1.02,25.64
-111.921231_40.88004,centroid_359,69.26,8.53,0.71,1.25,20.26
-111.922588_40.558313,centroid_360,52.97,13.32,3.39,1.24,29.07
-111.92275_40.786583,centroid_361,68.6,9.13,1.15,1.05,20.07
-111.923191_40.47861,centroid_362,48.14,14.74,7.66,1.0,28.46
-111.924105_40.777249,centroid_363,68.82,9.14,1.22,1.06,19.76
-111.924804_40.335698,centroid_364,39.07,15.74,10.46,0.73,33.99
-111.925071_41.155453,centroid_365,54.63,13.17,0.5,2.94,28.76
-111.925578_40.604733,centroid_366,56.38,12.74,2.95,1.06,26.86
-111.925846_41.030577,centroid_367,51.28,13.29,0.56,2.9,31.97
-111.926215_40.744741,centroid_368,64.2,10.22,1.59,0.89,23.1
-111.926241_40.851811,centroid_369,71.43,8.12,0.65,0.93,18.87
-111.927711_40.736088,centroid_370,63.34,10.85,1.78,0.85,23.18
-111.928688_40.399346,centroid_371,41.68,15.75,11.37,0.7,30.51
-111.928991_40.65544,centroid_372,59.01,11.58,2.23,1.16,26.03
-111.929727_41.081537,centroid_373,56.08,12.32,0.4,2.32,28.87
-111.929731_40.530127,centroid_374,51.24,13.45,4.07,1.26,29.98
-111.930032_41.01509,centroid_375,50.17,13.42,0.54,2.52,33.36
-111.930398_40.690919,centroid_376,60.37,10.97,1.98,0.95,25.73
