centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-111.076544_40.789839,centroid_1,27.41,38.1,3.19,0.54,30.76
-111.276811_40.62636,centroid_2,23.32,34.53,3.89,0.65,37.6
-111.282991_40.698113,centroid_3,28.12,30.51,3.88,0.69,36.81
-111.285765_41.776494,centroid_4,32.99,26.29,2.18,4.14,34.4
-111.364916_40.598384,centroid_5,23.39,32.46,4.96,0.7,38.49
-111.366196_40.490448,centroid_6,20.27,30.29,2.52,0.73,46.19
-111.380301_40.881808,centroid_7,30.46,26.94,9.26,0.72,32.63
-111.399741_40.517545,centroid_8,20.69,31.01,3.69,0.7,43.91
-111.402199_40.499864,centroid_9,20.84,28.22,3.21,0.73,47.0
-111.408202_40.477897,centroid_10,20.0,28.36,2.61,0.8,48.23
-111.420382_40.504007,centroid_11,20.19,28.91,3.64,0.79,46.48
-111.420779_40.48159,centroid_12,20.26,28.63,2.91,0.8,47.4
-111.434906_40.409967,centroid_13,19.31,29.92,1.85,0.65,48.28
-111.440744_40.757146,centroid_14,40.16,21.46,6.45,0.71,31.22
-111.442008_40.974532,centroid_15,45.57,21.37,10.22,0.67,22.17
-111.463355_40.506679,centroid_16,20.53,29.74,3.73,0.72,45.28
-111.47918_40.522269,centroid_17,22.08,29.42,4.31,0.79,43.4
-111.491737_40.657076,centroid_18,36.59,23.74,6.34,0.71,32.62
-111.505176_40.677097,centroid_19,39.34,21.74,7.06,0.63,31.22
-111.510946_40.65549,centroid_20,36.01,24.39,6.44,0.72,32.44
-111.510973_40.749146,centroid_21,47.65,18.03,7.43,0.67,26.22
-111.521423_40.710945,centroid_22,43.23,21.12,7.43,0.68,27.54
-111.523984_40.160043,centroid_23,24.13,28.5,1.2,0.87,45.3
-111.555312_40.702311,centroid_24,40.39,23.11,7.45,0.68,28.38
-111.57445_40.155571,centroid_25,27.67,25.32,0.65,0.83,45.53
-111.578766_40.760625,centroid_26,47.72,20.87,7.46,0.63,23.32
-111.579662_40.141332,centroid_27,26.25,25.05,0.53,0.82,47.35
-111.58085_40.12006,centroid_28,24.41,26.33,0.61,0.84,47.8
-111.586724_40.743115,centroid_29,44.79,23.27,7.62,0.63,23.69
-111.589586_40.153301,centroid_30,26.69,24.68,0.62,0.76,47.24
-111.594259_40.169936,centroid_31,27.48,24.31,0.9,0.81,46.49
-111.600062_40.162271,centroid_32,26.45,24.87,0.78,0.77,47.13
-111.602842_40.150459,centroid_33,26.35,25.01,0.67,0.75,47.22
-111.604913_40.177464,centroid_34,26.46,24.5,0.82,0.81,47.41
-111.608735_40.089857,centroid_35,27.9,25.18,0.38,0.78,45.77
-111.61045_40.126741,centroid_36,27.54,24.61,0.45,0.7,46.7
-111.614768_40.171519,centroid_37,26.34,24.45,0.78,0.79,47.64
-111.618345_40.106963,centroid_38,27.31,25.39,0.43,0.77,46.1
-111.623879_40.092185,centroid_39,27.58,24.76,0.38,0.84,46.45
-111.628876_40.159185,centroid_40,26.1,24.18,0.78,0.72,48.22
